[17-Jun-2012 20:09:18]  <Motoko`kaseijin> All right, let's get started, then.
[17-Jun-2012 22:28:15]  <Motoko`kaseijin> The man takes her arms and hoists Constance over his shoulders, not seeming to care about the blood.
[17-Jun-2012 22:28:40]  <Gideon> Gideon half-steps forward, expecting someone to rush forward to help, and is relieved when someone does.
[17-Jun-2012 22:29:44]  <Motoko`kaseijin> The woman looks at Constance, then Rashi and Gideon. "She... something in the way she looked didn't seem... human. I'm so glad you could drive... them... out of her."
[17-Jun-2012 22:29:50]  <Motoko`kaseijin> **
[17-Jun-2012 22:30:43]  <Gideon> "It's part of our duty," Gideon says, attempting to regain control of the situation. "That would be Brother Joseph's sister?"
[17-Jun-2012 22:32:37]  <Motoko`kaseijin> "Yes. She's ordinarily... not like that, at all. She always seems so happy, so innocent, but... with that innocence comes vulnerability. *They* must have turned her into... into that."
[17-Jun-2012 22:32:42]  <Motoko`kaseijin> **
[17-Jun-2012 22:35:30]  <Rashi> "Hm.  We'll see."
[17-Jun-2012 22:35:41]  <Motoko`kaseijin> 14I think I'm going to wrap up after this closing conversation. We should be able to finish this town's episode next week.
[17-Jun-2012 22:36:10]  <Gideon> "I think we need to talk to her brother," Gideon says, walking towards his horse. He pulls the old rifle from the saddle and slings the strap across his back. "Let's go."
[17-Jun-2012 22:36:16]  <Gideon> (Cool, whenever.)
[17-Jun-2012 22:36:41]  <Motoko`kaseijin> All right, we'll pick up next week as you head down to confront Brother Joseph. *suspense chord*
[17-Jun-2012 22:36:46]  <Gideon> Hah.
[17-Jun-2012 22:36:58]  <Motoko`kaseijin> It's been two and a half hours and I kind of need to eat. >_<
[17-Jun-2012 22:37:00]  <Gideon> Rashi: I'm not monopolizing the sessions or anything, am I?
[17-Jun-2012 22:37:06]  <Rashi> Not at all.
[17-Jun-2012 22:37:24]  <Gideon> Cool. Just want to make sure.
[17-Jun-2012 22:37:26]  <Motoko`kaseijin> It's really saying a lot about your respective characters, I think.
[17-Jun-2012 22:37:29]  <Rashi> Also that's a weird thing to ask after most of last time was Rashi versus agriculture in the fight of the century
[17-Jun-2012 22:37:51]  <Gideon> Yeah, but I just feel like Gideon is always jumping in and talking and Rashi is like, "Um, okay, yeah."
[17-Jun-2012 22:37:59]  <Gideon> Which does work for the whole character thing.
[17-Jun-2012 22:38:00]  <Motoko`kaseijin> It's like we've had a second round of initiations, haha.
[17-Jun-2012 22:38:19]  <Gideon> We need to have a showdown with more than one NPC.
[17-Jun-2012 22:38:27]  <Gideon> Which I assume will be next session.
[17-Jun-2012 22:38:42]  <Motoko`kaseijin> Well, Joseph does have one sibling left...
[17-Jun-2012 22:38:51]  <Gideon> Yeah.
[17-Jun-2012 22:38:53]  <Motoko`kaseijin> Totally not hinting at anything. ^_^
[17-Jun-2012 22:39:21]  <Gideon> I'm kind of sad that I missed out on at least a little fallout. Damn my excellent skills at exorcism.
[17-Jun-2012 22:39:34]  <Gideon> I figure I'll probably fall apart in the first gunfight.
[17-Jun-2012 22:39:38]  <Motoko`kaseijin> My dice were kind of terrible, too. Did you see all those 1s?
[17-Jun-2012 22:39:55]  <Gideon> Yeah. Not nearly as well as the machine.
[17-Jun-2012 22:40:27]  <Motoko`kaseijin> Those ag units could have gone Skynet on you guys if you didn't stop them.
[17-Jun-2012 22:41:16]  <Motoko`kaseijin> All right, good session, everyone. I'll fix up logs sometime during the week. Hope you guys enjoyed it.
