[31-Jan-2013 02:18:00]  <IllFlower> and off we go.
[31-Jan-2013 03:53:54]  <Makoto> IllFlower: ((Does it need to be an NPC? Like if I get another player to agree to a relationship with my character, would you accept that?))
[31-Jan-2013 03:54:06]  <IllFlower> sure, that'd be fine as well.
[31-Jan-2013 03:54:26]  <Makoto> ((Oh uh but I guess it's kind of been established that she's never met another initiate before... or at least if she has, she didn't know they were... hmmm))
[31-Jan-2013 03:54:33]  *** JBridge <~JBridge@c-24-4-171-1.hsd1.ca.comcast.net> has joined #madokamadness
[31-Jan-2013 03:54:40]  <IllFlower> time, space, handwaves.
[31-Jan-2013 03:54:42]  <Makoto> ((I'll have to put some thought into it))
[31-Jan-2013 03:55:01]  <IllFlower> Ht relationships don't require any knowledge of common magic, so that's an option.
[31-Jan-2013 03:55:03]  <ponicalica> 14they met way pre-magical girl, then lost contact X amout of time before?
[31-Jan-2013 03:55:16]  <Makoto> ponicalica: something like that
[31-Jan-2013 03:55:24]  <IllFlower> Yui could be your bestest classmate friend or something.
[31-Jan-2013 03:56:03]  * Miaka_Watanabe_[Barcode] smiles slightly at Makoto. "...At the very least, enthusiasm will help you keep going."
[31-Jan-2013 03:56:08]  <Miaka_Watanabe_[Barcode]> ((man goddamnit the rechner isn't booting up))
[31-Jan-2013 03:56:18]  <IllFlower> but that can come later. in the meantime, on with the show! like Barcode is already doing!
[31-Jan-2013 03:56:32]  * Makoto grins. "Okay, Miaka-chan! You got it! From now on, I'll fight for your sake!"
[31-Jan-2013 03:57:57]  <Makoto> "Maybe when you get better, we'll fight witches together!"
[31-Jan-2013 03:58:49]  <IllFlower> (if you guys could move this scene towards a conclusion, I'll go ahead and pick up from there.)
[31-Jan-2013 03:58:58]  <Miaka_Watanabe_[Barcode]> ((thought this was working pretty well as it was <_< ))
[31-Jan-2013 03:59:19]  <Miaka_Watanabe_[Barcode]> ((nless you got anything to cintribute, Aoi?))
[31-Jan-2013 03:59:36]  * Miaka_Watanabe_[Barcode] smiles a little more broadly. "Thank you, Makoto. Though I'm...not even sure why I'm still here, I'll keep that in mind."
[31-Jan-2013 03:59:49]  <IllFlower> (oh, it's working well. I just want to give SpruceZeus a little combat training afterward, so whenever you're good.)
[31-Jan-2013 04:00:07]  <Makoto> ((I'm cool with how this turned out))
[31-Jan-2013 04:00:09]  *** Xeniera <~Solstace@71-222-88-234.ptld.qwest.net> has joined #madokamadness
[31-Jan-2013 04:00:09]  *** ChanServ sets mode: +o Xeniera
[31-Jan-2013 04:00:19]  <aoi-> ((I'm good. ))
[31-Jan-2013 04:00:51]  <Makoto> ((not gonna have Aoi like roll his eyes or anything? ok))
[31-Jan-2013 04:00:54]  <buttercupistiny> ((I'm fine with classmate stuffs, should you choose to go that route, mimudakki))
[31-Jan-2013 04:00:54]  <IllFlower> all right.
[31-Jan-2013 04:01:31]  <Makoto> ((hmm that might work. it would be easier to justify than a spazzy athlete like Makoto somehow having a past friendship with shy quiet ol Yuna))
[31-Jan-2013 04:02:15]  <IllFlower> Miaka and Makoto eventually wind down their conversation. Aoi mostly spends that time standing off in a metaphorical corner, but he seems not to mind too much.
[31-Jan-2013 04:02:33]  * aoi- smiles, though. 
[31-Jan-2013 04:02:34]  <Makoto> ((Let's go with friendly rivalry! Makoto would totally be all I AM TOTALLY GONNA SCORE BETTER THAN YOU ON THIS TEST and then get a C+ or something while Yui aces it XD))
[31-Jan-2013 04:02:51]  <Miaka_Watanabe_[Barcode]> ((hey, my sumire relationship is "sumire kept talking at me until I liked it", so. also hey miaka is an enthusiasm magnet and shit I'm reminded of-never mind)
[31-Jan-2013 04:03:24]  <Miaka_Watanabe_[Barcode]> ) ((also nitya I'm gonna have to like, somehow trigger aoi's competitive spirit some session or other. gotta make use of my fury stat >:[ ))
[31-Jan-2013 04:03:28]  <Makoto> ((determined to have as many fury relationships as possible because Makoto is just that kind of gal))
[31-Jan-2013 04:03:36]  <IllFlower> after saying "good-bye", Aoi and Miaka head off. Aoi wishes Miaka well with a few words, while Makoto positively invents the new sport of jump-waving.
[31-Jan-2013 04:03:48]  <IllFlower> * Aoi and Makoto head off.
[31-Jan-2013 04:05:06]  <IllFlower> Aoi slides the door shut, and he makes his way back to the hospital entrance with Makoto.
[31-Jan-2013 04:05:55]  <IllFlower> for what it's worth, he seems to have a remarkable amount of patience, considering that she's still positively bouncing off the walls.
[31-Jan-2013 04:06:01]  * Makoto gets occasionally distracted by random things on the way out and asks a few completely non-sequitur questions to Aoi, which he mostly ignores
[31-Jan-2013 04:06:14]  <Makoto> ((oh oops should wait for the ** probably sorry!))
[31-Jan-2013 04:06:43]  <aoi-> ((Boo how could you so something so ooc!!!))
[31-Jan-2013 04:06:54]  <IllFlower> the two of them turn a corner to find a remarkably empty corridor, one that was fairly busy on the way here... **
[31-Jan-2013 04:07:03]  <Miaka_Watanabe_[Barcode]> ((we'll see how midterms go, and all that. without this to worry about maybe I'll be better inclined to return. also UH OH))
[31-Jan-2013 04:07:20]  <Miaka_Watanabe_[Barcode]> without this to worry about maybe I'll get a good handle on how well I'm doign this semester and I'll be better inclined to*
[31-Jan-2013 04:07:51]  <Makoto> IllFlower: ((should i sharp check or what. dunno if Makoto would really notice or care that there are less people there))
[31-Jan-2013 04:08:02]  <aoi-> "Hm?  What a remarkably empty corridor.  Wasn't it fairly busy when we came in?"
[31-Jan-2013 04:08:05]  <Miaka_Watanabe_[Barcode]> ((shit do you both have horrible Sharp))
[31-Jan-2013 04:08:27]  <Makoto> "Eh? Hm. I dunno. I wasn't really paying attention."
[31-Jan-2013 04:08:30]  * Makoto shrugs
[31-Jan-2013 04:08:51]  <IllFlower> no, no Sh challenge necessary right now.
[31-Jan-2013 04:09:09]  <Makoto> "They probably all went to do... doctor stuff... or something."
[31-Jan-2013 04:09:24]  <IllFlower> at the end of the corridor, in front of the elevators where Aoi and Makoto entered, sits a... prize wheel?
[31-Jan-2013 04:09:40]  <IllFlower> it looks like one of those things on a game show, except cardboard...
[31-Jan-2013 04:09:42]  <IllFlower> **
[31-Jan-2013 04:09:56]  * Makoto sprints up to it the instant she notices it
[31-Jan-2013 04:10:02]  <aoi-> "Doctor thing's 
[31-Jan-2013 04:10:22]  <Makoto> "Eh...? Look at this..."
[31-Jan-2013 04:10:28]  <aoi-> Like The Price Is Right, huh. "
[31-Jan-2013 04:11:02]  * Makoto gives the wheel an idle spin
[31-Jan-2013 04:11:35]  *** JBridge_ <~JBridge@c-24-4-171-1.hsd1.ca.comcast.net> has joined #madokamadness
[31-Jan-2013 04:11:38]  <Makoto> "Is this what the doctors do on their lunch break...?"
[31-Jan-2013 04:12:01]  <IllFlower> Miaka_Watanabe_[Barcode]: that's all for Miaka this episode. Miaka's forthcoming absence has been conveniently explained by that OC doing something to merit hospitalization. :p  you can go ahead and gift XP to someone whenever.
[31-Jan-2013 04:12:27]  *** JBridge <~JBridge@c-24-4-171-1.hsd1.ca.comcast.net> has quit IRC (Killed (NickServ (GHOST command used by JBridge_)))
[31-Jan-2013 04:12:27]  <Makoto> IllFlower: ((I assume you're keeping track of all the XP yourself?))
[31-Jan-2013 04:12:29]  *** JBridge_ is now known as JBridge
[31-Jan-2013 04:12:33]  <aoi-> ((Can we read it?   Assuming your not writing up our trip to hell atm.))
[31-Jan-2013 04:12:34]  <Makoto> ((or should i))
[31-Jan-2013 04:12:57]  <Makoto> ((Aoi: Read what's on the prize wheel, you mean?))
[31-Jan-2013 04:13:00]  <IllFlower> aoi-: read what?
[31-Jan-2013 04:13:12]  <IllFlower> Makoto spins the wheel, which immediately turns into a giant circular blur. it's funny how it seems to be spinning faster than Makoto turned it...
[31-Jan-2013 04:13:55]  <Makoto> ((now we fight evil  Vanna White))
[31-Jan-2013 04:13:56]  <IllFlower> in any case, it eventually slows to a stop, landing on... a red wedge with a rather angry-looking face on it. hm. **
[31-Jan-2013 04:14:14]  <Makoto> "Oh. I think I lost."
[31-Jan-2013 04:14:34]  <IllFlower> Makoto: I keep track of XP, generally, but it's on the character stats sheet.
[31-Jan-2013 04:14:48]  <Makoto> ((ah, so it is))
[31-Jan-2013 04:15:41]  <aoi-> ((What's on the wheel, yes.   I suppose that's answered. ))
[31-Jan-2013 04:15:56]  <Makoto> "Dang. My Bad Luck from New Year's has come back to haunt me!"
[31-Jan-2013 04:16:49]  <IllFlower> it's late December. she must have a good memory for these things.
[31-Jan-2013 04:17:09]  <Makoto> ((Makoto always draws Bad Luck. >_>))
[31-Jan-2013 04:17:46]  *** JBridge <~JBridge@c-24-4-171-1.hsd1.ca.comcast.net> has quit IRC (Read error: Connection reset by peer)
[31-Jan-2013 04:17:46]  <IllFlower> for a moment, the hallway is completely still.
[31-Jan-2013 04:18:24]  <Makoto> ((Before combat, I'm going to go AFK for just a minute to grab a quick snack))
[31-Jan-2013 04:18:33]  <Makoto> ((won't be very long))
[31-Jan-2013 04:18:34]  <IllFlower> slowly, though, the wedges on the wheel seem to open outward into something resembling a series of teeth on a circular mouth, which begin to spin...
[31-Jan-2013 04:19:18]  <Miaka_Watanabe_[Barcode]> (( IllFlower - Got it, and thanks for wrapping this up so neatly. :D let's give it to...say, Aoi, I guess.))
[31-Jan-2013 04:19:35]  <IllFlower> the hallway lights go out -- wait, it shouldn't be *this* dark. wasn't it just the middle of the afternoon?
[31-Jan-2013 04:19:47]  <aoi-> "Makoto, get back...! "
[31-Jan-2013 04:20:25]  *** Miaka_Watanabe_[Barcode] is now known as Barcode
[31-Jan-2013 04:20:43]  <IllFlower> Makoto steps back in a mix of confusion and terror, as the wheel begins to glow brightly, way too brightly for mere cardboard.
[31-Jan-2013 04:21:00]  <Makoto> ((okay back))
[31-Jan-2013 04:21:34]  * Makoto leaps back with a yelp. "Gah! This is no ordinary bad luck! I knew I shouldn't have left my lucky horseshoe at home!"
[31-Jan-2013 04:21:49]  <IllFlower> a series of spikes emerges from the outside of the wheel now, the spinning -- it's got to be metal -- the spinning metal looking like a combination of a dog collar and the guts of a food processor.
[31-Jan-2013 04:22:12]  <IllFlower> suddenly, a whole host of lights turns on in the midst of the darkness, looking like some warped variety show.
[31-Jan-2013 04:22:20]  <Aoi> 14fucking chores.
[31-Jan-2013 04:22:28]  *** aoi- <~Glossina@63-229-134-7.ptld.qwest.net> has quit IRC (Quit: [spurious input; ignoring])
[31-Jan-2013 04:22:34]  *** JBridge <~JBridge@c-24-4-171-1.hsd1.ca.comcast.net> has joined #madokamadness
[31-Jan-2013 04:22:50]  <IllFlower> a dark laugh issues from the wheel-mouth, which begins to close on Makoto.
[31-Jan-2013 04:23:15]  <IllFlower> she looks around, her eyes searching for Aoi, but it looks like he's suddenly nowhere to be found.
[31-Jan-2013 04:23:22]  <IllFlower> it's time for battle. **
[31-Jan-2013 04:23:41]  <Aoi> 14well, ok.
[31-Jan-2013 04:24:10]  <IllFlower> Aoi: oh, I thought you were leaving.
[31-Jan-2013 04:24:29]  <Aoi> 14I was on my phone.  Lolreallife.  Here I am!
[31-Jan-2013 04:24:52]  <IllFlower> "chores" sounded like "gotta go do stuff, might be a while."
[31-Jan-2013 04:25:32]  <Aoi> 14i was doing stuff all throughout all that.
[31-Jan-2013 04:25:36]  <Aoi> 14MULTITASKING
[31-Jan-2013 04:26:07]  <IllFlower> well, then you'll be part of this battle. just a stealthy one.
[31-Jan-2013 04:26:09]  <Makoto> ((okay so for atk/def/sup it's magical attributes that apply to that, right?))
[31-Jan-2013 04:26:14]  <ponicalica> 14yeah.
[31-Jan-2013 04:26:16]  <IllFlower> Makoto: yup. any order you choose.
[31-Jan-2013 04:27:23]  <Makoto> ((atk - fury (9) def - ht (6) sup - mag (3)))
[31-Jan-2013 04:27:44]  <IllFlower> Aoi?
[31-Jan-2013 04:28:09]  <Aoi> 14sup 8, atk 6, def 4
[31-Jan-2013 04:28:46]  <IllFlower> okay, Makoto goes first.
[31-Jan-2013 04:30:07]  <Makoto> ((so is there is a witch there somewhere or what? is the wheel-thing what i'm fighting?))
[31-Jan-2013 04:30:43]  <IllFlower> yup.
[31-Jan-2013 04:30:47]  <Makoto> ((okay))
[31-Jan-2013 04:31:52]  *** CentralAve|dinner is now known as CentralAve
[31-Jan-2013 04:32:51]  <IllFlower> Makoto: so what's your action? attack, ... different attack...? (pp. 16-17 in the manual if you need a reference.)
[31-Jan-2013 04:33:10]  <Makoto> ((was going to describe her transforming first))
[31-Jan-2013 04:33:19]  <Makoto> ((i was typing a bunch of stuff. i was just going to attack))
[31-Jan-2013 04:33:25]  <IllFlower> oh, right, you should probably do that first, haha.
[31-Jan-2013 04:33:26]  <ponicalica> 14without me there, everyone forgets to transform
[31-Jan-2013 04:33:30]  <IllFlower> neither of you are transformed.
[31-Jan-2013 04:33:32]  <Barcode> ((heh))
[31-Jan-2013 04:33:45]  <Barcode> ((get on that :O))
[31-Jan-2013 04:34:22]  * Aoi , thankful for the darkness, transforms in a fit of discoball rainbow
[31-Jan-2013 04:34:55]  * Makoto yells "Transform!", although the latter part of the word is drowned out in a massive, extremely colorful explosion that engulfs her. In the narrow hospital corridor, the blast is deafening. When the smoke, fireworks, and fluttering confetti clears, Makoto's magical girl outfit, a dress decorated with diagonal stripes of a rainbow of different eye-searingly bright neon colors. She also sports...
[31-Jan-2013 04:34:56]  * Makoto ...a tiny, equally gaudy cone-shaped paper hat on her head, and heavy black boots
[31-Jan-2013 04:35:18]  * Makoto *colors, is revealed.
[31-Jan-2013 04:35:41]  * Aoi lights up
[31-Jan-2013 04:36:20]  <Aoi> "WOW, Makoto!  I can hardly look at you!"
[31-Jan-2013 04:36:33]  <IllFlower> Makoto: all right, roll to attack. that's 2d6+9 in your case.
[31-Jan-2013 04:36:59]  <Barcode> ((lol))
[31-Jan-2013 04:37:10]  * Makoto summons her weapon, a gigantic solid iron cannon, with a second, perhaps even more deafening explosion of fireworks. It's just as hard to look at as the rest of her, and bright red ribbons flutter from the handles. She hoists it and prepares to blast away her attacker
[31-Jan-2013 04:37:28]  <Makoto> +roll 2d6+9
[31-Jan-2013 04:37:28]  <rollermine> Makoto: (6+4)+9=19
[31-Jan-2013 04:37:39]  <IllFlower> roll again for 6.
[31-Jan-2013 04:37:54]  <Makoto> ((Just an additional 1d6, correct?))
[31-Jan-2013 04:37:57]  <IllFlower> yup
[31-Jan-2013 04:38:01]  <Makoto> +roll d6
[31-Jan-2013 04:38:01]  <rollermine> Makoto: 4=4
[31-Jan-2013 04:38:02]  <ponicalica> 14unless you get another 6
[31-Jan-2013 04:38:02]  <Fiora> (in the future, use 2m6+9 instead)
[31-Jan-2013 04:38:05]  <Fiora> (it'll dothat automatically)
[31-Jan-2013 04:38:10]  <Makoto> ((Okay cool))
[31-Jan-2013 04:38:12]  <ponicalica> 14for future reference, yeah, 2m6+9 will autoroll overcharge dice
[31-Jan-2013 04:38:15]  <IllFlower> for future reference, "m6" explodes 6s automatically.
[31-Jan-2013 04:38:28]  <IllFlower> okay, 23.
[31-Jan-2013 04:38:39]  <Makoto> ((Is that a lot? It sounds like a lot.))
[31-Jan-2013 04:39:01]  <IllFlower> the witch won't bother to defend against that, so roll for damage..
[31-Jan-2013 04:39:05]  <Aoi> 14yeah.  that's just to hit, though.  damage is otherwise.
[31-Jan-2013 04:39:18]  <Makoto> ((What do I roll to figure out damage))
[31-Jan-2013 04:39:31]  <IllFlower> generally large TH means a good amount of OC, though, which increases damage.
[31-Jan-2013 04:39:46]  <Fiora> (1d6 + half your attack rounded down + 2 per OC)
[31-Jan-2013 04:39:49]  <IllFlower> Makoto: d6+Att/2+OC*2, so d6+4+2 in this case,
[31-Jan-2013 04:39:55]  <Fiora> (you get a forced OC for each 6 in your roll)
[31-Jan-2013 04:39:58]  *** Aoi_ <~Glossina@63-229-134-7.ptld.qwest.net> has joined #madokamadness
[31-Jan-2013 04:39:58]  <Makoto> ((Okay))
[31-Jan-2013 04:40:05]  <Aoi_> 14fucking hell.
[31-Jan-2013 04:40:11]  *** Aoi <~Glossina@63-229-134-7.ptld.qwest.net> has quit IRC (Killed (NickServ (GHOST command used by Aoi_)))
[31-Jan-2013 04:40:13]  <Makoto> +roll 1d6+4+2
[31-Jan-2013 04:40:14]  <rollermine> Makoto: (6)+4+2=12
[31-Jan-2013 04:40:15]  *** Aoi_ is now known as Aoi
[31-Jan-2013 04:40:37]  <Makoto> ((Does anything special happen because I rolled a six on damage, or does that just make me feel awesome))
[31-Jan-2013 04:40:48]  <ponicalica> 14just makes you feel awesome
[31-Jan-2013 04:41:00]  <ponicalica> 14only the magical rolls force overcharge
[31-Jan-2013 04:41:02]  <Makoto> ((excellent. should i describe the attack?))
[31-Jan-2013 04:41:09]  <ponicalica> 14yeah
[31-Jan-2013 04:41:46]  <IllFlower> 12 damage. go ahead and describe. Aoi's up.
[31-Jan-2013 04:41:54]  <Barcode> ((whoa.))
[31-Jan-2013 04:42:13]  <Barcode> ((makoto: time to be all fancytastic. THE CANNON LAND SQUARE IN THE MIDDLE OF THE SPINNING WHEEL AND EXLPOADS))
[31-Jan-2013 04:42:16]  <Barcode> cannonball lands*
[31-Jan-2013 04:42:27]  <Makoto> ((it doesn't fire cannonballs))
[31-Jan-2013 04:42:43]  <Barcode> (( >:(  ))
[31-Jan-2013 04:43:11]  * Makoto 's cannon jumps in her hands. There is a deafening *whump* as it spits out a fizzing projectile which slams into the wheel and erupts into a shower of crackling green and gold sparks.
[31-Jan-2013 04:43:19]  <IllFlower> Barcode: it's a t-shirt cannon.
[31-Jan-2013 04:43:31]  * Makoto pumps her fist. "Direct hit!"
[31-Jan-2013 04:43:43]  <Makoto> ((It shoots FIREWORKS :D))
[31-Jan-2013 04:44:05]  <BGTB2005> 14close enough
[31-Jan-2013 04:44:06]  <Aoi> 14hmmmmm i think i'll try Reading an Enemy for the hell of it.  or is that one of the things gone from the modded rules...?
[31-Jan-2013 04:44:21]  <IllFlower> a few metal arms fly from the witch's body. the unbalanced wheels make a creaking sound as they rub against each other.
[31-Jan-2013 04:44:37]  <IllFlower> Aoi: you can do the middle 3 options.
[31-Jan-2013 04:45:00]  <Aoi> 14WHAT why not motivation ;_; but yeah sure what the hell
[31-Jan-2013 04:45:26]  <IllFlower> because it has no motivation beyond "teach SpruceZeus how the combat mechanics work" :p
[31-Jan-2013 04:45:35]  <Aoi> 142m6+8, right?
[31-Jan-2013 04:45:42]  <IllFlower> yup.
[31-Jan-2013 04:46:23]  <Aoi> +roll 2m6+8
[31-Jan-2013 04:46:23]  <rollermine> Aoi: (5+3)+8=16
[31-Jan-2013 04:46:32]  <IllFlower> +roll d3
[31-Jan-2013 04:46:32]  <rollermine> IllFlower: 3=3
[31-Jan-2013 04:46:56]  <Aoi> 14let's say +1 defense and -1 damage.
[31-Jan-2013 04:47:12]  <IllFlower> okay, noted.
[31-Jan-2013 04:49:12]  <IllFlower> it's the witch's turn now. witch elects to attack Makoto, because it's got those primal instincts going that say "bright? loud? MUST KILL"
[31-Jan-2013 04:49:24]  <IllFlower> +roll 2m6+5
[31-Jan-2013 04:49:24]  <rollermine> IllFlower: (3+1)+5=9
[31-Jan-2013 04:49:36]  <IllFlower> well, that's certainly not going to work.
[31-Jan-2013 04:49:46]  <IllFlower> +roll 2m6
[31-Jan-2013 04:49:46]  <rollermine> IllFlower: (2+5)=7
[31-Jan-2013 04:49:51]  <Barcode> ?
[31-Jan-2013 04:50:01]  <Makoto> ((it gets two attacks? or what))
[31-Jan-2013 04:50:03]  <IllFlower> burn 2 PP for 16 TH. Makoto?
[31-Jan-2013 04:50:13]  <IllFlower> it essentially took 2 OC.
[31-Jan-2013 04:50:24]  <IllFlower> for two extra dice.
[31-Jan-2013 04:50:27]  <Barcode> right right, now I remember.
[31-Jan-2013 04:50:28]  <Makoto> ((is it my turn again?))
[31-Jan-2013 04:50:32]  <Aoi> 14you can defend.
[31-Jan-2013 04:50:45]  <IllFlower> Makoto: you have to defend against the witch's attack.
[31-Jan-2013 04:51:15]  <Makoto> ((oh. so half my defense, plus 2d6?))
[31-Jan-2013 04:51:24]  <IllFlower> 2m6+Def, unless you want to fall back on the automatic passive defense (Def+4, which in your case is 10, and would fail).
[31-Jan-2013 04:51:51]  <Makoto> +roll 2m6+6
[31-Jan-2013 04:51:51]  <rollermine> Makoto: (4+3)+6=13
[31-Jan-2013 04:52:01]  <Aoi> 14oh nooooo
[31-Jan-2013 04:52:08]  <IllFlower> 16 > 13, so the witch's attack succeeds.
[31-Jan-2013 04:52:12]  <ponicalica> 14you can add an extra die for overcharge, or strain a relationship
[31-Jan-2013 04:52:17]  <Makoto> ((oh so it got 16 from burning that extra charge, okay))
[31-Jan-2013 04:52:27]  <ponicalica> 14er, strain a lot
[31-Jan-2013 04:52:53]  <IllFlower> as far as things go, I wouldn't recommend taking OC. I think Makoto can take a few blows okay.
[31-Jan-2013 04:53:00]  <Makoto> ((yeah okay))
[31-Jan-2013 04:53:06]  <IllFlower> it's like that Chumbawamba song.
[31-Jan-2013 04:53:17]  <IllFlower> +roll d6+2+2
[31-Jan-2013 04:53:17]  <rollermine> IllFlower: 4+2+2=8
[31-Jan-2013 04:53:46]  <Makoto> ((er i took one point of Fury OC from my attack, right?))
[31-Jan-2013 04:53:53]  <IllFlower> yeah, you did. I noted that.
[31-Jan-2013 04:54:00]  <Makoto> ((should i be keeping the stats table updated or- okay))
[31-Jan-2013 04:54:43]  <IllFlower> the wheel slowly lumbers over Makoto, then without warning tilts vertically, knocking one of its outer wedges into her, and sending her flying some distance.
[31-Jan-2013 04:54:54]  <IllFlower> 8 damage. Makoto's at 10 Resolve.
[31-Jan-2013 04:55:03]  <IllFlower> that's the end of round one. any attribute order changes?
[31-Jan-2013 04:55:10]  <Aoi> 14fine here.
[31-Jan-2013 04:55:12]  <Makoto> "Bwaugh ouch oof. Dangit, doesn't that thing know it's beat?"
[31-Jan-2013 04:55:17]  <Makoto> (nope i'm good)
[31-Jan-2013 04:55:24]  <IllFlower> okay, then it's Makoto's turn again.
[31-Jan-2013 04:56:19]  <Makoto> ((Okay, can I tell how badly wounded the witch is?))
[31-Jan-2013 04:56:28]  <Aoi> 14nope
[31-Jan-2013 04:56:30]  <IllFlower> not really.
[31-Jan-2013 04:56:47]  <Makoto> ((hmm))
[31-Jan-2013 04:56:52]  <Fiora> ((this is dragon quest, not final fantasy))
[31-Jan-2013 04:57:07]  *** Aoi_ <~Glossina@63-229-134-7.ptld.qwest.net> has joined #madokamadness
[31-Jan-2013 04:57:14]  <Aoi_> 14oh come on.
[31-Jan-2013 04:57:19]  *** Aoi <~Glossina@63-229-134-7.ptld.qwest.net> has quit IRC (Killed (NickServ (GHOST command used by Aoi_)))
[31-Jan-2013 04:57:21]  *** Aoi_ is now known as Aoi
[31-Jan-2013 04:57:32]  <Makoto> ((I'm going to use my double action to attack twice. I will take two additional Fury OC to do that though, right?))
[31-Jan-2013 04:58:16]  <IllFlower> yeah, you can do that. I don't think you'll get a chance to have a second action, though ;)
[31-Jan-2013 04:58:25]  <Makoto> ((Oh. Okay nvm then))
[31-Jan-2013 04:58:35]  <Fiora> ((um, general advice -- don't use overcharge unless you have to, since overcharge is the main consequence of fights))
[31-Jan-2013 04:58:42]  <Makoto> ((All right))
[31-Jan-2013 04:58:46]  <IllFlower> (by which I mean this is just a training witch who will die rather soon.)
[31-Jan-2013 04:59:36]  * Makoto leaps back onto her feet surprisingly quickly for somebody holding what must be a couple hundred pounds of solid iron. She sneers disdainfully at the witch and takes aim
[31-Jan-2013 04:59:57]  <Makoto> +roll 2m6+9
[31-Jan-2013 04:59:57]  <rollermine> Makoto: (1+1)+9=11
[31-Jan-2013 05:00:08]  <ponicalica> 14lol
[31-Jan-2013 05:00:16]  <Makoto> ((ugh, that's probably not going to do the trick, is it? >_>)
[31-Jan-2013 05:00:24]  <IllFlower> well, let's see.
[31-Jan-2013 05:00:29]  <IllFlower> the witch tries to clash.
[31-Jan-2013 05:00:33]  <Fiora> ((the witch could still do worse))
[31-Jan-2013 05:00:35]  <IllFlower> +roll 2m6+5
[31-Jan-2013 05:00:35]  <rollermine> IllFlower: (2+(6+1))+5=14
[31-Jan-2013 05:00:40]  <IllFlower> it doesn't.
[31-Jan-2013 05:00:58]  <Makoto> (so clash means it gets to hit me back instead of taking its turn, right?)
[31-Jan-2013 05:01:02]  <IllFlower> right.
[31-Jan-2013 05:01:06]  <Makoto> (okay)
[31-Jan-2013 05:01:14]  <IllFlower> 14 > 11, so the witch wins and deals...
[31-Jan-2013 05:01:18]  <IllFlower> +roll d6+2+2
[31-Jan-2013 05:01:18]  <rollermine> IllFlower: 1+2+2=5
[31-Jan-2013 05:01:21]  <IllFlower> 5 damage.
[31-Jan-2013 05:01:27]  <IllFlower> natural 1, whoo.
[31-Jan-2013 05:01:48]  <IllFlower> Makoto's at 5 Resolve.
[31-Jan-2013 05:02:00]  <Aoi> 14how much do i heal, again?
[31-Jan-2013 05:02:09]  <IllFlower> Aoi's turn.
[31-Jan-2013 05:02:16]  * Makoto fires another blast from her cannon. It ricochets off one of the witch's wedgelike appendages, bounces around  the corridor, and explodes in Makoto's face, blasting her off her feet again
[31-Jan-2013 05:02:27]  <IllFlower> it's d6+2, though if you launch a successful attack, you're basically bound to kill the witch.
[31-Jan-2013 05:02:39]  <Makoto> "Guh... it's... fighting... dirty..."
[31-Jan-2013 05:03:12]  <Aoi> 14ehh, i was gonna let makoto finishi t off, but....
[31-Jan-2013 05:03:18]  <IllFlower> (basically, don't roll 1,1 on 2d6.)
[31-Jan-2013 05:03:23]  <Aoi> "Makoto, be careful with these things!"
[31-Jan-2013 05:03:31]  * Aoi pulls out his bow and prepares to fire
[31-Jan-2013 05:03:39]  <Aoi> +roll 2m6+6
[31-Jan-2013 05:03:39]  <rollermine> Aoi: (5+2)+6=13
[31-Jan-2013 05:03:58]  <IllFlower> +roll 2m6+4
[31-Jan-2013 05:03:58]  <rollermine> IllFlower: (2+1)+4=7
[31-Jan-2013 05:03:59]  * Makoto hauls herself back to her feet, rather badly singed
[31-Jan-2013 05:04:16]  <IllFlower> 13 > 7. attack succeeds. d6+3 for damage.
[31-Jan-2013 05:04:16]  <Makoto> "It just got lucky! Dumb thing..."
[31-Jan-2013 05:04:21]  <Aoi> +roll d6+3
[31-Jan-2013 05:04:22]  <rollermine> Aoi: 5+3=8
[31-Jan-2013 05:04:31]  <IllFlower> that's fatal.
[31-Jan-2013 05:04:52]  *** JBridge <~JBridge@c-24-4-171-1.hsd1.ca.comcast.net> has quit IRC (Ping timeout: 190 seconds)
[31-Jan-2013 05:05:24]  * Aoi sends a bolt of ice into the center of the witch.  It hits dead center, breaking the mysteriously target-looking heart into icy shards.
[31-Jan-2013 05:05:27]  <IllFlower> <Aoi> ehh, i was gonna let makoto finishi t off, but.... // perhaps she'll emerge from this a bit chastened :p
[31-Jan-2013 05:05:28]  <Makoto> "Dammit, my hat got burnt!"
[31-Jan-2013 05:05:56]  * Makoto prepares to unleash another volley, but Aoi just arrows it first
[31-Jan-2013 05:06:13]  <IllFlower> the witch shatters to pieces, melting into a puddle of water on the ground that quickly evaporates away.
[31-Jan-2013 05:06:30]  <Makoto> "H-hey! I totally had it under control! Like I said, it was just a lucky shot!"
[31-Jan-2013 05:06:45]  <IllFlower> the corridor lights turn back on again, and some faint late afternoon light seeps through nearby windows.
[31-Jan-2013 05:07:23]  <IllFlower> the usual stream of hospital traffic comes back down the corridor. one doctor walks up alongside the suddenly de-transformed Aoi and Makoto, pushing the button for the elevator.
[31-Jan-2013 05:07:32]  <IllFlower> "are you two going to the lobby?" she asks. **
[31-Jan-2013 05:07:37]  <Aoi> "Haha, you just accidentally exploded your face, ri-"
[31-Jan-2013 05:07:48]  <Aoi> "Ah!  Uh, yes, we are."
