[21-Apr-2013 01:44:59]  <CharlaGM> Thaaaaat's everyone then.
[21-Apr-2013 02:58:57]  <Cpldrake> Blake do I need to bring up Amarillo Again
[21-Apr-2013 02:59:12]  <Alan_Walsh> "Oh yeah, almos' forgot these."
[21-Apr-2013 02:59:13]  <CharlaGM> LT Fendel: "Hurry up HURRY UP HURRY HURRY HURRY GET SOME GET SOME GET SOME GET SOME."
[21-Apr-2013 02:59:14]  <TrooperAmemiya> (is it safe to assume hand grenades are included with ammo?)
[21-Apr-2013 02:59:19]  * Lin_Chong packs another good portion of spare ammunition. 
[21-Apr-2013 02:59:19]  * Alan_Walsh snags grenades from the table.
[21-Apr-2013 02:59:20]  <CharlaGM> (Yes.)
[21-Apr-2013 02:59:23]  * TrooperBlake rushes over, cramming grenades into the magazine of his launcher, and stashing more away elsewhere, while tucking some pistol mags away.
[21-Apr-2013 02:59:28]  <Alan_Walsh> (Wait, shit. Ignore that last bit.0
[21-Apr-2013 02:59:34]  * TrooperAmemiya retreives magazines and grenades
[21-Apr-2013 02:59:40]  <Alan_Walsh> (Or not.)
[21-Apr-2013 02:59:53]  <Lin_Chong> Hold the horses, Fendel. Patience is not permanence.
[21-Apr-2013 03:00:05]  <CharlaGM> "FUCK PERMANENCE I WANT TO KILL SHIT."
[21-Apr-2013 03:00:17]  * TrooperAmemiya inserts a magazine into his slug rifle and hits the bolt release
[21-Apr-2013 03:00:19]  * TrooperBlake jogs after Fendel, saying "Oh hell yeah!"
[21-Apr-2013 03:00:29]  <Cpldrake> Lin has a point, we could all die because Lin is contemplating the permanence of sand
[21-Apr-2013 03:00:35]  *** Barcode <~Barcode@dhcp-0-18-e7-f8-27-1.cpe.sourcecable.net> has quit IRC (Quit: Livin' on borrowed time.)
[21-Apr-2013 03:00:38]  <Cpldrake> So we need to bring other people so they can die for us
[21-Apr-2013 03:00:47]  * TrooperAmemiya suppresses a laugh
[21-Apr-2013 03:00:56]  <Lin_Chong> I mean patience is not /impermanence/.
[21-Apr-2013 03:01:16]  <CharlaGM> "FUCKING HANGAR, EVERYBODY, DOUBLETIME THAT SHIT."
[21-Apr-2013 03:01:17]  <Cpldrake> I vote for meatshields
[21-Apr-2013 03:01:33]  * Cpldrake heads out to do some killing
[21-Apr-2013 03:01:57]  * Alan_Walsh heads to the hanger, considerably more chipper than he was half an hour ago.
[21-Apr-2013 03:02:06]  <Lin_Chong> wee
[21-Apr-2013 03:02:14]  * TrooperBlake enthusiastically jog-hops to the hangar, shouting "WHOO-WHOO-WHOO-WHOO-WHOO!"
[21-Apr-2013 03:02:43]  * TrooperAmemiya slings rifle and follows the squad to the hangar
[21-Apr-2013 03:02:48]  <CharlaGM> The cacophonous cadre of cavalry march-dashes their way to the hangar, like some sort of psychotic pub crawl.
[21-Apr-2013 03:03:42]  <CharlaGM> In the middle are several sizable drop ships capable of carrying multiple squads. On the far wall, a massive holo-television displays a map of part of Seawolf's surface.
[21-Apr-2013 03:04:13]  <CharlaGM> Arrows lead from large green spots to large red spots, then proceed to move on to other green spots.
[21-Apr-2013 03:04:58]  <Cpldrake> "Our pilots are trained right? I remember last mission with interns. Made Ralph uneasy, was bad mission. I blame Alan"
[21-Apr-2013 03:05:35]  <Alan_Walsh> "Hey!"
[21-Apr-2013 03:05:37]  <TrooperBlake> I just want a pilot that doesn't get antsy around me. I don't bite, I tell, them, but they don't believe me.
[21-Apr-2013 03:05:49]  <TrooperBlake> (*I tell them)
[21-Apr-2013 03:06:05]  <CharlaGM> "FUCK YEAH OUR PILOTS ARE TRAINED RIGHT. AND DO YOU SEE THAT WEATHER DOWN THERE? FINEST SHIT IN THIS SECTOR. TONS OF CLOUDS AND NOT AN ANGRY CUMULO-WHATTHEFUCKEVER BETWEEN THEM."
[21-Apr-2013 03:08:23]  <CharlaGM> "FUCKING LUAU ALL UP IN THIS SHIT SOON AS WE SMOKE SOME SHARKS."
[21-Apr-2013 03:08:44]  <Alan_Walsh> "Sounds good t' me."
[21-Apr-2013 03:08:45]  * TrooperBlake loses some of his enthusiasm.
[21-Apr-2013 03:08:47]  <Cpldrake> Alright, everyone made landing preperations, make sure guns are loaded, Alan, make sure you remember which end you point at the enemy
[21-Apr-2013 03:08:50]  <TrooperAmemiya> URAA!
[21-Apr-2013 03:08:59]  <TrooperBlake> Well, let's get this show on the road!
[21-Apr-2013 03:09:22]  * TrooperBlake flicks safety catch on launcher off.
[21-Apr-2013 03:09:52]  <Lin_Chong> yaaaay
[21-Apr-2013 03:10:04]  * TrooperAmemiya partially draws back the charging handle on his rifle, checking to make sure a round is indeed chambered
[21-Apr-2013 03:10:06]  * Alan_Walsh checks flechette gun, safety's still off.
[21-Apr-2013 03:10:09]  <CharlaGM> "EVERYBODY PILE IN! WE LAND AT THE SOUTHERN END OF THE COAST AND MARCH OUR WAY NORTH!"
[21-Apr-2013 03:10:18]  <TrooperBlake> I call shotgun!
[21-Apr-2013 03:10:30]  * Cpldrake turns off cannon safety
[21-Apr-2013 03:10:38]  <Cpldrake> "Wait one sec
[21-Apr-2013 03:10:53]  * Cpldrake goes out on the deck, pointing the cannon at a wall, then fires
[21-Apr-2013 03:11:03]  <Cpldrake> "Need to to safety weapon check. Gun works. Lets go"
[21-Apr-2013 03:11:16]  * Alan_Walsh gives Drake a disturbed look.
[21-Apr-2013 03:11:17]  * TrooperAmemiya ensure bolt is closed, keeps safety on
[21-Apr-2013 03:11:21]  <TrooperBlake> Whoa, ghesus, Drake!
[21-Apr-2013 03:11:35]  <CharlaGM> "FUCK'S SAKE, DRAKE, EVEN I GIVE A SHIT ABOUT TRIGGER DISCIPLINE, DO THAT SHIT AGAIN AND I'M SENDING YOU OUT WITH A PISTOL."
[21-Apr-2013 03:11:36]  * TrooperAmemiya points at Drake
[21-Apr-2013 03:11:45]  <TrooperAmemiya> I'd like to keep as far away from him as possible
[21-Apr-2013 03:11:54]  * TrooperBlake turns safety back on on second thought
[21-Apr-2013 03:12:07]  <Cpldrake> LT, just needed to make sure. Last trip tried to frag officer, but gun didn't work. Got a week without pay
[21-Apr-2013 03:12:19]  <Cpldrake> I lost four cousins that week
[21-Apr-2013 03:12:26]  <TrooperAmemiya> Can we send him out without the dropship?
[21-Apr-2013 03:12:31]  <CharlaGM> LT Fendel just stares daggers at Drake.
[21-Apr-2013 03:12:39]  <Alan_Walsh> "Nah, I think he's funny."
[21-Apr-2013 03:12:54]  * TrooperBlake murmurs "what's going to kill me first, the sharks, or Drake?"
[21-Apr-2013 03:12:57]  * Cpldrake smiles at LT, "I see you know the Volg expression of love between man and woman"
[21-Apr-2013 03:13:11]  <Alan_Walsh> "So, Drake's pointman?"
[21-Apr-2013 03:13:12]  <CharlaGM> "TRUST ME, I'D LOVE TO JUST DROP HIM ON ECHO'S HEADS, BUT WE GOTTA SNIFF THE CARTILIGE-Y BASTARDS OUT FIRST."
[21-Apr-2013 03:13:15]  <Cpldrake> But I am professional soldier, so I focus only on work. And killing. And my gun"
[21-Apr-2013 03:13:26]  <CharlaGM> (I AM HEAVY WEAPONS GUY.)
[21-Apr-2013 03:13:28]  <CharlaGM> (AND THIS)
[21-Apr-2013 03:13:31]  <CharlaGM> (IS MY WEAPON.)
[21-Apr-2013 03:13:37]  <TrooperBlake> On second thought, Drake, you can have shotgun!
[21-Apr-2013 03:13:48]  <CharlaGM> (IT FIRES 80 GIGAWATT PHASED PLASMA BEAMS 2 TIMES A SECOND.)
[21-Apr-2013 03:14:01]  <Cpldrake> (it deals 2d10 damage per bullet)
[21-Apr-2013 03:14:13]  <TrooperBlake> (It costs twenty million credits to fire this weapon for three seconds.)
[21-Apr-2013 03:14:43]  <CharlaGM> "ALRIGHT! EVERYBODY ONBOARD?"
[21-Apr-2013 03:14:45]  <Cpldrake> (cue Drake getting instakilled once we land)
[21-Apr-2013 03:14:51]  <TrooperAmemiya> (batteries are expensive in the future)
[21-Apr-2013 03:15:02]  <Alan_Walsh> "Ah'm still here."
[21-Apr-2013 03:15:12]  <CharlaGM> (I figure the e-cannon has something more like a tiny fusion reactor powering it.)
[21-Apr-2013 03:15:20]  <TrooperBlake> As much as I wish I wasn't, I am.
[21-Apr-2013 03:15:23]  <Cpldrake> (its powered by sheer hatred)
[21-Apr-2013 03:15:32]  <TrooperAmemiya> (or insanity)
[21-Apr-2013 03:15:36]  <Cpldrake> I am ready for a good trip on a beach
[21-Apr-2013 03:15:47]  <Cpldrake> I might even be able to feed Alan to a shark
[21-Apr-2013 03:15:48]  <Alan_Walsh> (Or competition.)
[21-Apr-2013 03:15:53]  <CharlaGM> "ALRIGHT! LOCK DOWN YOUR SHIT, WE DROP IN 1 MINUTE."
[21-Apr-2013 03:15:57]  <Alan_Walsh> (Every unit should be equipped with a Super Scope.)
[21-Apr-2013 03:16:16]  * TrooperBlake buckles up as quickly as possible
[21-Apr-2013 03:16:17]  <Alan_Walsh> "Drake, I'm not gonna give that remark the dignity of a response."
[21-Apr-2013 03:16:28]  * TrooperAmemiya ensures harness is secure
[21-Apr-2013 03:16:35]  <TrooperBlake> Except for that, Alan.
[21-Apr-2013 03:16:46]  <CharlaGM> "10!"
[21-Apr-2013 03:16:48]  <CharlaGM> "9!"
[21-Apr-2013 03:16:48]  <Lin_Chong> I don't know, I might think humor is permanent enough to help Drake.
[21-Apr-2013 03:16:50]  <CharlaGM> "8!"
[21-Apr-2013 03:16:52]  <CharlaGM> "7!"
[21-Apr-2013 03:16:54]  <CharlaGM> "6!"
[21-Apr-2013 03:16:57]  <CharlaGM> "5!"
[21-Apr-2013 03:17:00]  <CharlaGM> "4!"
[21-Apr-2013 03:17:02]  <CharlaGM> "3!"
[21-Apr-2013 03:17:04]  <CharlaGM> "2!"
[21-Apr-2013 03:17:07]  <CharlaGM> "!"
[21-Apr-2013 03:17:07]  <Alan_Walsh> "Hold onto yer butts!"
[21-Apr-2013 03:17:09]  <CharlaGM> Click
[21-Apr-2013 03:17:10]  <CharlaGM> CHUNK
[21-Apr-2013 03:17:13]  <CharlaGM> WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOSH
[21-Apr-2013 03:17:20]  <Lin_Chong> yay
[21-Apr-2013 03:17:23]  <TrooperBlake> OH SHEEEEEIIIIIIT
[21-Apr-2013 03:17:31]  <Alan_Walsh> "YA-HOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO!"
[21-Apr-2013 03:17:31]  <CharlaGM> NFA test to keep your breakfast inside
[21-Apr-2013 03:17:44]  <Alan_Walsh> +roll d10
[21-Apr-2013 03:17:44]  <rollermine> Alan_Walsh: 2=2
[21-Apr-2013 03:17:46]  * TrooperAmemiya lets out a bored "wheeeeeeeee"
[21-Apr-2013 03:17:49]  <Alan_Walsh> (It is a d10, right?)
[21-Apr-2013 03:18:03]  <TrooperBlake> (I think so?)
[21-Apr-2013 03:18:05]  <Cpldrake> +roll d10
[21-Apr-2013 03:18:05]  <rollermine> Cpldrake: 9=9
[21-Apr-2013 03:18:08]  <TrooperAmemiya> +roll d10
[21-Apr-2013 03:18:08]  <rollermine> TrooperAmemiya: 7=7
[21-Apr-2013 03:18:17]  <Lin_Chong> +roll d10
[21-Apr-2013 03:18:17]  <rollermine> Lin_Chong: 4=4
[21-Apr-2013 03:18:26]  <Alan_Walsh> (Is this roll over or under?)
[21-Apr-2013 03:18:28]  <CharlaGM> Roll equal to or under your NFA
[21-Apr-2013 03:18:32]  <Cpldrake> ha
[21-Apr-2013 03:18:32]  <Cpldrake> ha
[21-Apr-2013 03:18:32]  <TrooperAmemiya> (I think it's under)
[21-Apr-2013 03:18:33]  <TrooperBlake> +roll d10
[21-Apr-2013 03:18:33]  <rollermine> TrooperBlake: 1=1
[21-Apr-2013 03:18:42]  * Cpldrake looks sick, suddenly turns to Alan
[21-Apr-2013 03:18:47]  <TrooperAmemiya> (paruparuparu)
[21-Apr-2013 03:19:02]  * TrooperBlake keeps it down like a hardass
[21-Apr-2013 03:19:13]  * Cpldrake a fountain of synth-protein and miscellaneous fluid pours onto to Alan
[21-Apr-2013 03:19:24]  * Cpldrake its also extremely hot
[21-Apr-2013 03:19:27]  <TrooperBlake> (Aren't we wearing helmets, though?)
[21-Apr-2013 03:19:38]  <CharlaGM> (Yes, but they have retractable visors.)
[21-Apr-2013 03:19:46]  <TrooperBlake> (Fair enough, then.)
[21-Apr-2013 03:20:03]  * Alan_Walsh makes a mental note to get back at Drake for that somehow.
[21-Apr-2013 03:20:03]  * TrooperAmemiya feels the contents of his stomach attempting to escape, tries to keep it down, fails
[21-Apr-2013 03:20:06]  <Cpldrake> (Although I should have looked at Charlatan's character for revenge for every time he fragged me retribution
[21-Apr-2013 03:20:14]  <Lin_Chong> Ease up, Walsh.
[21-Apr-2013 03:20:19]  * Lin_Chong pats Alan's back.
[21-Apr-2013 03:20:19]  <CharlaGM> (You mean the LT?)
[21-Apr-2013 03:20:21]  * TrooperAmemiya quickly retracts visor
[21-Apr-2013 03:20:22]  *** Anonus <~Adium@75-166-172-104.hlrn.qwest.net> has joined #madokamadness
[21-Apr-2013 03:20:25]  <Lin_Chong> Sickness is impermanence. 
[21-Apr-2013 03:20:36]  <TrooperAmemiya> Oh shut up
[21-Apr-2013 03:20:43]  <Alan_Walsh> (Never piss off the guy whose job it is to save your life.)
[21-Apr-2013 03:20:47]  * TrooperBlake follows Amemiya's suit
[21-Apr-2013 03:20:48]  <Anonus> what's happening here
[21-Apr-2013 03:20:52]  <TrooperAmemiya> (trufax)
[21-Apr-2013 03:20:56]  <CharlaGM> (Anonus: RPG gaem.)
[21-Apr-2013 03:20:58]  <Cpldrake> (Well considering I'm Drake)
[21-Apr-2013 03:20:59]  <Anonus> oh
[21-Apr-2013 03:21:07]  <TrooperBlake> (Or extends? Iunno.)
[21-Apr-2013 03:21:19]  <Cpldrake> (I'm amazed I made corporal without getting murdered by my subordinates"
[21-Apr-2013 03:21:36]  <CharlaGM> (They're probably scared pissless of you. :P )
[21-Apr-2013 03:22:10]  <CharlaGM> The turbelence eventually wears off and you can feel the ship decelerating.
[21-Apr-2013 03:22:14]  <Cpldrake> (its going to be fun to see combat
[21-Apr-2013 03:23:35]  <CharlaGM> Suddenly the ship shakes violently with a loud BANG. Red warning lights and klaxons begin going off.
[21-Apr-2013 03:23:46]  <TrooperBlake> Oh hell.
[21-Apr-2013 03:23:46]  <Alan_Walsh> "Th' fuck wassat?"
[21-Apr-2013 03:23:58]  <TrooperAmemiya> Party time
[21-Apr-2013 03:23:59]  *** Barcode <~Barcode@dhcp-0-18-e7-f8-27-1.cpe.sourcecable.net> has joined #madokamadness
[21-Apr-2013 03:23:59]  *** ChanServ sets mode: +o Barcode
[21-Apr-2013 03:24:19]  <Alan_Walsh> "Ah've never been one fer surprise parties."
[21-Apr-2013 03:24:23]  <CharlaGM> "Uhhhhhhh attention passengers, the strength of the shark lasers exceeded our initial estimates. Gonna take us in low, but a tad away from our intended drop zone. Thank you for flying TEF Air."
[21-Apr-2013 03:24:27]  <TrooperAmemiya> ...that food did not taste any better coming back up
[21-Apr-2013 03:24:39]  <Alan_Walsh> "Remind me to tell y'all that story sometime."
[21-Apr-2013 03:24:54]  <TrooperBlake> ...Shit.
[21-Apr-2013 03:24:56]  <Alan_Walsh> "You tasted that food?"
[21-Apr-2013 03:24:56]  <CharlaGM> The ship bobs and weaves as the pilot pulls manuevers that would make Chuck Yaeger proud, considering the boat he's flying.
[21-Apr-2013 03:25:03]  <CharlaGM> "20 SECS, APES!"
[21-Apr-2013 03:25:25]  <TrooperAmemiya> Unfortunately
[21-Apr-2013 03:25:46]  <Lin_Chong> (guys I need to go buy lunch I'll be back in a bit)
[21-Apr-2013 03:25:52]  <TrooperBlake> (Sure.)
[21-Apr-2013 03:25:55]  <CharlaGM> The ship slows to a crawl and the landing ramp begins to lower. You're hovering about 15 feet over a sand dune, facing the sea, and sharks are coming out of the surf. They look unhappy.
[21-Apr-2013 03:25:57]  <CharlaGM> (Aight.)
[21-Apr-2013 03:26:18]  <CharlaGM> (Am I too sluggish at running this game guys?)
[21-Apr-2013 03:26:33]  <CharlaGM> (I always like for my 1st session to be sorta meet-n-greet but I think I took it too far. :V )
[21-Apr-2013 03:26:41]  <TrooperBlake> (A little, but I don't mind, gives me time to tend to RL stuff.)
[21-Apr-2013 03:26:44]  <Barcode> ((well, you're at combat at this point anyway. :P))
[21-Apr-2013 03:26:49]  <CharlaGM> (True.)
[21-Apr-2013 03:26:58]  <TrooperBlake> (Speaking of which, I need to get dinner.)
[21-Apr-2013 03:27:58]  *** Barcode <~Barcode@dhcp-0-18-e7-f8-27-1.cpe.sourcecable.net> has quit IRC (Read error: Connection reset by peer)
[21-Apr-2013 03:28:26]  <Alan_Walsh> (Should we at least get a little killing in for this session, or no?)
[21-Apr-2013 03:28:39]  <CharlaGM> (Yes.)
[21-Apr-2013 03:28:50]  <Alan_Walsh> (WAAAAAAAAAAAAAAAAAAAAAAAGH!)
[21-Apr-2013 03:28:54]  <CharlaGM> (I think at least one encounter should be good, then we can do the rest of the planet for next week.)
[21-Apr-2013 03:29:02]  <Cpldrake> (I didn't bring Ralph all this way for nothing)
[21-Apr-2013 03:29:04]  <CharlaGM> (Sorry I was such a slowboat getting to the actual combat. :V )
[21-Apr-2013 03:29:07]  *** Barcode <~Barcode@dhcp-0-18-e7-f8-27-1.cpe.sourcecable.net> has joined #madokamadness
[21-Apr-2013 03:29:07]  *** ChanServ sets mode: +o Barcode
[21-Apr-2013 03:30:27]  <CharlaGM> (While we're waiting, what's everyone's default weapon for the start of combat?)
[21-Apr-2013 03:30:39]  <Alan_Walsh> (Flechette gun, I think.)
[21-Apr-2013 03:30:47]  <TrooperBlake> (Grenade Launcher.)
[21-Apr-2013 03:31:44]  <BGTB2005> (Slug rifle)
[21-Apr-2013 03:33:14]  <Barcode> so like, are you guys taking on a planet with just the ammo you carried on your persons
[21-Apr-2013 03:33:23]  <Alan_Walsh> (Fuck yes we are.)
[21-Apr-2013 03:33:25]  <Barcode> 14 is OC even necessary given you're on break
[21-Apr-2013 03:33:30]  <Barcode> 14 OOC*
[21-Apr-2013 03:33:31]  <Alan_Walsh> (No.)
[21-Apr-2013 03:33:56]  <Cpldrake> (E-cannon)
[21-Apr-2013 03:33:56]  <Alan_Walsh> 00Also, color codes are silly and harder to type than parentheses.
[21-Apr-2013 03:34:01]  <Barcode> yes.
[21-Apr-2013 03:34:12]  <CharlaGM> Barcode: Fuck yeah. Once you get to LT you have the option to fry an entire planet from orbit but the brass doesn't like resorting to that.)
[21-Apr-2013 03:34:13]  <Alan_Walsh> Woah, too light.
[21-Apr-2013 03:34:32]  <Barcode> CharlaGM: jeez, man. these guys must be packing like HE 5mm needlers or something
[21-Apr-2013 03:34:35]  <Cpldrake> ((Can I have a link to the character sheets again?)
[21-Apr-2013 03:34:36]  <Alan_Walsh> CharlaGM: I forget; did you ever beat Bulletstorm?
[21-Apr-2013 03:34:41]  <CharlaGM> Alan_Walsh: No.
[21-Apr-2013 03:34:44]  <TrooperAmemiya> %C14(testing)
[21-Apr-2013 03:34:46]  <Alan_Walsh> Ah. Never mind, then.
[21-Apr-2013 03:34:52]  <CharlaGM> Barcode: The e-cannon is prettymuch a BFG9000/10000 so yes.
[21-Apr-2013 03:34:58]  <Barcode> heh.
[21-Apr-2013 03:35:00]  <TrooperAmemiya> (Okay, so mibbit does not appear to like colour codes)
[21-Apr-2013 03:35:07]  <CharlaGM> Cpldrake: https://docs.google.com/spreadsheet/ccc?key=0ArNU5CMJkik6dHFOY2FraWdWT2Uyd0l0WE5oM2NPUkE#gid=0
[21-Apr-2013 03:35:08]  <Omnipresence> 14URL: [docs.google.com → accounts.google.com] Welcome to Google Docs
[21-Apr-2013 03:35:13]  <Alan_Walsh> Quake 2 BFG10K, I assume?
[21-Apr-2013 03:35:26]  <CharlaGM> Alan_Walsh: Yes.
[21-Apr-2013 03:35:27]  <Alan_Walsh> CharlaGM: I just realized something.
[21-Apr-2013 03:35:30]  <CharlaGM> Da?
[21-Apr-2013 03:35:32]  <Alan_Walsh> Look at the end of that URL.
[21-Apr-2013 03:35:38]  <CharlaGM> Puke XD
[21-Apr-2013 03:35:45]  <CharlaGM> How prophetic
[21-Apr-2013 03:35:46]  <TrooperAmemiya> (Pfffff)
[21-Apr-2013 03:35:57]  <Barcode> oh hey, you can be emotionally dead
[21-Apr-2013 03:36:17]  <TrooperAmemiya> (From what I understand of the rules, same thing as physically dead)
[21-Apr-2013 03:36:45]  <CharlaGM> Yes.
[21-Apr-2013 03:36:59]  <CharlaGM> When you get emotionally dead you're basically a gibbering ball curled up in the corner
[21-Apr-2013 03:37:17]  <Barcode> ah :[
[21-Apr-2013 03:38:54]  *** JBridge|Connection_problems <~JBridge@c-71-198-84-239.hsd1.ca.comcast.net> has joined #madokamadness
[21-Apr-2013 03:38:58]  <JBridge|Connection_problems> OK, my connection hates uTorrent.
[21-Apr-2013 03:39:01]  <CharlaGM> :V
[21-Apr-2013 03:39:01]  *** JBridge|Connection_problems is now known as JBridge
[21-Apr-2013 03:39:10]  <JBridge> Could someone please ghost Alan_Walsh?
[21-Apr-2013 03:39:23]  <JBridge> The nick's not registered, so I can't.
[21-Apr-2013 03:40:00]  *** Alan_Walsh was kicked by ChanServ ((Barcode) No reason given)
[21-Apr-2013 03:41:01]  *** JBridge is now known as Alan
[21-Apr-2013 03:41:16]  <Alan> Odd, it isn't letting me switch to Alan_Walsh.
[21-Apr-2013 03:41:27]  <Barcode> probably not exited off the whole network
[21-Apr-2013 03:41:35]  <Barcode> the hell's going on on your side nayway
[21-Apr-2013 03:41:37]  *** Alan is now known as Alan_Walsh
[21-Apr-2013 03:41:41]  <Alan_Walsh> There we go.
[21-Apr-2013 03:41:49]  <Alan_Walsh> Anyway, Comcast hates me for some reason.
[21-Apr-2013 03:41:50]  <TrooperAmemiya> (right, so, combat?)
[21-Apr-2013 03:41:59]  <Alan_Walsh> (COMBAT!)
[21-Apr-2013 03:42:03]  <TrooperBlake> (Waiting for Lin to get back)
[21-Apr-2013 03:42:30]  <Alan_Walsh> http://danbooru.donmai.us/posts/1347341
[21-Apr-2013 03:42:31]  <Omnipresence> 14URL: [danbooru.donmai.us] komeiji satori (touhou) drawn by imizu (nitro unknown) - Danbooru
[21-Apr-2013 03:48:23]  <CharlaGM> I like to imagine that while we're waiting the space marines and the sharks just sorta stopped their planned violence and are just sorta standing still twiddling their thumbs.
[21-Apr-2013 03:48:38]  <Lin_Chong> Sorry I took so long
[21-Apr-2013 03:48:41]  <Lin_Chong> Pressing issues
[21-Apr-2013 03:49:03]  <TrooperBlake> (It's okay.)
[21-Apr-2013 03:49:05]  <CharlaGM> (Salright)
[21-Apr-2013 03:49:10]  <CharlaGM> (Everyone with us now?)
[21-Apr-2013 03:50:14]  <Alan_Walsh> A-yep!
[21-Apr-2013 03:50:34]  <Alan_Walsh> @yt Binary Domain Japanese Police Chase
[21-Apr-2013 03:50:34]  <Omnipresence> 14Alan_Walsh: YouTube: (1/19) http://www.youtube.com/watch?v=o_ewubmIubg — Binary Domain Original Soundtrack:10.- Japanese Police Chase — 1809 views (+2250 more characters)
[21-Apr-2013 03:51:21]  <TrooperAmemiya> (Piano arrange of Cirno's theme; totally fitting music)
[21-Apr-2013 03:51:43]  <Alan_Walsh> @yt Da Ork Song
[21-Apr-2013 03:51:43]  <Omnipresence> 14Alan_Walsh: YouTube: (1/25) http://www.youtube.com/watch?v=whxcq4I0kAo — Da Ork Song — 202459 views (+2612 more characters)
[21-Apr-2013 03:51:44]  <Alan_Walsh> Better.
[21-Apr-2013 03:51:58]  <CharlaGM> http://www.youtube.com/watch?v=NqGQyMF5a_0 <--- The only song I will accept
[21-Apr-2013 03:51:58]  <Omnipresence> 14URL: [www.youtube.com] Street Sharks (intro) - YouTube
[21-Apr-2013 03:52:06]  <Alan_Walsh> Best.
[21-Apr-2013 03:54:53]  <TrooperBlake> (Right, are we ready?)
[21-Apr-2013 03:55:01]  <Cpldrake> alright lets do this
[21-Apr-2013 03:55:12]  <CharlaGM> (Yeeeep)
[21-Apr-2013 03:55:23]  <CharlaGM> Okay, so
[21-Apr-2013 03:56:28]  <CharlaGM> (Fuck, lemme find the rules for Initiative/Dominance/whatever it's called(
[21-Apr-2013 03:57:12]  <CharlaGM> Everybody roll NFA
[21-Apr-2013 03:57:33]  <Alan_Walsh> +roll d10
[21-Apr-2013 03:57:33]  <rollermine> Alan_Walsh: 6=6
[21-Apr-2013 03:57:35]  <TrooperAmemiya> +roll d10
[21-Apr-2013 03:57:35]  <rollermine> TrooperAmemiya: 4=4
[21-Apr-2013 03:57:42]  <TrooperAmemiya> success
[21-Apr-2013 03:57:52]  *** Section42L <~Section@CPE18593345ef4c-CM18593345ef49.cpe.net.cable.rogers.com> has joined #madokamadness
[21-Apr-2013 03:58:00]  <CharlaGM> +roll d10
[21-Apr-2013 03:58:00]  <rollermine> CharlaGM: 4=4
[21-Apr-2013 03:58:03]  *** Section42L <~Section@CPE18593345ef4c-CM18593345ef49.cpe.net.cable.rogers.com> has left #madokamadness
[21-Apr-2013 03:58:04]  <TrooperBlake> +roll d10
[21-Apr-2013 03:58:04]  <rollermine> TrooperBlake: 5=5
[21-Apr-2013 03:58:58]  <CharlaGM> (Liiiiin)
[21-Apr-2013 03:59:03]  <Cpldrake> +roll d10
[21-Apr-2013 03:59:03]  <rollermine> Cpldrake: 8=8
[21-Apr-2013 03:59:14]  <Cpldrake> (Forever an 8)
[21-Apr-2013 03:59:20]  <TrooperAmemiya> (so far highest success appears to be a PC)
[21-Apr-2013 03:59:38]  <TrooperBlake> (Depends on what the AA is.)
[21-Apr-2013 04:00:02]  <CharlaGM> (The aliens rolled under their NFA/AA)
[21-Apr-2013 04:00:23]  <Alan_Walsh> (AA?)
[21-Apr-2013 04:00:31]  <TrooperBlake> (Alien Ability)
[21-Apr-2013 04:00:34]  <Alan_Walsh> (Ah.)
[21-Apr-2013 04:00:35]  <CharlaGM> (Alien Ability, the Alien's catchall score for everything)
[21-Apr-2013 04:00:42]  <CharlaGM> (Also Lin_Chong still needs to roll)
[21-Apr-2013 04:01:03]  <Alan_Walsh> (We should just decide turn order by No Noes Goes.)
[21-Apr-2013 04:01:10]  <Alan_Walsh> *No Nose Goes
[21-Apr-2013 04:02:13]  <CharlaGM> (This isn't to decide order as the PCs go at the same time. It determines who gets the first shot off and what ranges ya'll get to start at.)
[21-Apr-2013 04:03:00]  *** AttObl|GokaiW is now known as AttObl
[21-Apr-2013 04:03:16]  <TrooperBlake> (Hmm, where is Kraken?)
[21-Apr-2013 04:04:18]  <Lin_Chong> Sorry
[21-Apr-2013 04:04:40]  <Lin_Chong> (so what am I supposed to roll again)
[21-Apr-2013 04:04:46]  <Alan_Walsh> d10.
[21-Apr-2013 04:04:49]  <TrooperBlake> (NFA)
[21-Apr-2013 04:05:10]  <Lin_Chong> +roll d10
[21-Apr-2013 04:05:10]  <rollermine> Lin_Chong: 4=4
[21-Apr-2013 04:05:48]  <TrooperBlake> (Right, we're tied.)
[21-Apr-2013 04:06:04]  <TrooperAmemiya> (Highest PC roll was a 6)
[21-Apr-2013 04:06:19]  <TrooperAmemiya> (successful PC roll, rather)
[21-Apr-2013 04:07:20]  <TrooperBlake> (But lowest was a four.)
[21-Apr-2013 04:07:25]  <CharlaGM> (Not sure if by highest they mean best success or numerically-highest)
[21-Apr-2013 04:07:40]  <Alan_Walsh> (I say by best success.)
[21-Apr-2013 04:07:42]  <TrooperBlake> (Best success, I'm guessing.)
[21-Apr-2013 04:08:04]  <TrooperAmemiya> (Highes Success)
[21-Apr-2013 04:08:35]  <CharlaGM> (So BGTB, and Lin, you two figure out which range to put everyone at for a start)
