[11-Sep-2011 22:38:12]  <Gendo> GET LEADY!  
[11-Sep-2011 23:16:05]  <Loki_Weyland> Clay pigeons?
[11-Sep-2011 23:16:11]  <Gendo> Dr. Murai cuts in: "So, we decided that the best experience you can get for dynamic combat is against each other."
[11-Sep-2011 23:16:20]  <Loki_Weyland> Hoo boy.
[11-Sep-2011 23:16:20]  <Osip_Zhgun[Barcode]> [dohohoho]
[11-Sep-2011 23:16:25]  <Lou> ...
[11-Sep-2011 23:16:25]  <Loki_Weyland> This is going to be interesting.
[11-Sep-2011 23:16:34]  <Motoko> ... this isn't going to end well ...
[11-Sep-2011 23:16:38]  <Loki_Weyland> $ Do I have my naginata as well?
[11-Sep-2011 23:16:39]  <Lou> Do we have teams?
[11-Sep-2011 23:17:02]  <Cassie> "Oooh this will be fun" says Cassie with the first hint of excitement the others have heard in her voice
[11-Sep-2011 23:17:10]  <JackMackerel> "Woo, deathmatch~!"
[11-Sep-2011 23:17:12]  <Osip_Zhgun[Barcode]> "I suppose AT fields are defenseless against the power of our tagging lasers," Osip dryly remarks.
[11-Sep-2011 23:17:32]  <Gendo> "Yes, you will be grouped into teams."
[11-Sep-2011 23:17:46]  <Loki_Weyland> Who's with who?
[11-Sep-2011 23:17:48]  <Osip_Zhgun[Barcode]> [^^aaaaaaaand there I go ruining everything again with my robot]
[11-Sep-2011 23:18:01]  <Gendo> Loki_Weyland: You have your naginata, or at least a polearm resemling it.  It's obviously been modded to fit the game, somehow...
[11-Sep-2011 23:18:09]  <JackMackerel> (What about me >:|)
[11-Sep-2011 23:18:13]  <Loki_Weyland> $ Hm.
[11-Sep-2011 23:18:20]  <Cassie> [So Cassie has her Prog Spear too?]
[11-Sep-2011 23:18:25]  <Gendo> [SLOW DOWN!  PLEASE!  ;_;]
[11-Sep-2011 23:18:37]  <Lou> [Laser tagging naginata!]
[11-Sep-2011 23:18:41]  <Gendo> All Melee weapons are present, and adjusted.
[11-Sep-2011 23:18:43]  <JackMackerel> (Endrance is so cute when he's flustered~)
[11-Sep-2011 23:18:50]  <Motoko> 14Gendo: I'm already slowing down! >_>
[11-Sep-2011 23:19:07]  <Lou> [I'm Rei-ing as hard as I can!!]
[11-Sep-2011 23:19:18]  <JackMackerel> (unf unf)
[11-Sep-2011 23:19:34]  <Gendo> [I'm a little scatter-brained right now and distracted by family, sorry]
[11-Sep-2011 23:19:59]  <Loki_Weyland> $ We'll try to distract you as best we can!
[11-Sep-2011 23:20:29]  <Gendo> [And lets retcon the laser-tag to paintball.  Weapons make more sense that way]
[11-Sep-2011 23:20:34]  <Loki_Weyland> $ Yeah.
[11-Sep-2011 23:20:38]  <Motoko> 14I'm busy moving the logs from the log viewer to static HTML files, since the regular logs will roll off log rotation pretty soon
[11-Sep-2011 23:20:51]  <Loki_Weyland> $Ah.
[11-Sep-2011 23:20:52]  <Osip_Zhgun[Barcode]> [k. change "yellow chevrons" to "orange-tipped barrel"]
[11-Sep-2011 23:21:05]  <Osip_Zhgun[Barcode]> [in other words just "k"]
[11-Sep-2011 23:21:19]  <Loki_Weyland> $ NOTE TO SELF: READ THE PLAYER NOTES. IT'S PAINTBALL, NOT LASER TAG.
[11-Sep-2011 23:21:45]  <Gendo> [Also, this probably won't get to be roleplayed out, unless you guys want to put off Angel combat for another session]
[11-Sep-2011 23:21:46]  <Cassie> [So lets say melee weapons look like LARP gear then?]
[11-Sep-2011 23:22:03]  <Loki_Weyland> $ Wiffle bats!
[11-Sep-2011 23:22:05]  <Cassie> [I say Angel this session]
[11-Sep-2011 23:22:16]  <Loki_Weyland> $ I agree.
[11-Sep-2011 23:22:26]  <Gendo> [Alright]
[11-Sep-2011 23:22:42]  <Osip_Zhgun[Barcode]> [perhaps we can just write up RPing stuff later if we want for the combat]
[11-Sep-2011 23:22:44]  <Osip_Zhgun[Barcode]> training*
[11-Sep-2011 23:22:50]  <Loki_Weyland> $Yeah, that's a good idea.
[11-Sep-2011 23:22:57]  <Lou> [Writing out of order works for books, and it works for roleplay too!!]
[11-Sep-2011 23:23:06]  <Loki_Weyland> $ Besides, I want to write this scene.
[11-Sep-2011 23:23:18]  <Gendo> As you guys are playing with your weapons, the simulation suddenly goes black.
[11-Sep-2011 23:23:22]  <JackMackerel> "Goddammit."
[11-Sep-2011 23:23:26]  <Loki_Weyland> ...Shit.
[11-Sep-2011 23:23:35]  <Lou> Sir?
[11-Sep-2011 23:23:47]  <Gendo> Motoko: Pretend we had enough time in the simulation for you to get the basics of movement and stuff down.
[11-Sep-2011 23:23:49]  <JackMackerel> "Oh, wait, no one panic, it's like this every damn first episode, monster suddenly attacks~"
[11-Sep-2011 23:23:49]  * Osip_Zhgun[Barcode] blinks and checks his computer. The computer is still running but the simulation has ended. "Something wrong, Commander?"
[11-Sep-2011 23:23:51]  <Cassie> "I thought they finally got rid of the multiple Evas crashing the system glitch" mutters Cassie
[11-Sep-2011 23:23:59]  <Motoko> 14(having just managed to get back on her feet) What's going on?
[11-Sep-2011 23:24:21]  <Loki_Weyland> Crap. I hate technical errors.
[11-Sep-2011 23:24:33]  <JackMackerel> "Thousand yen says it's a kaiju."
[11-Sep-2011 23:24:33]  <Loki_Weyland> Every LAN party I've been to, something always goes wrong.
[11-Sep-2011 23:24:52]  * Osip_Zhgun[Barcode] pings the server, etc.
[11-Sep-2011 23:24:54]  <Cassie> "Kaiju?"
[11-Sep-2011 23:24:56]  <Gendo> Yumi:  "Ummm, the Magi is detecting an Angel.  A big one".
[11-Sep-2011 23:25:01]  <Motoko> 14JackMackerel: Thousand yen says it's Dr. Murai got distracted by a kaiju movie.
[11-Sep-2011 23:25:02]  <Loki_Weyland> I hope Jackie's not ri- SHIT.
[11-Sep-2011 23:25:17]  <Cassie> "Not a word Pilot Jaqueline. Not a word."
[11-Sep-2011 23:25:18]  <JackMackerel> "You all can pay me later~"
[11-Sep-2011 23:25:26]  <Loki_Weyland> We didn't bet anything!
[11-Sep-2011 23:25:26]  <Lou> The one from before?
[11-Sep-2011 23:25:31]  * Osip_Zhgun[Barcode] rolls for willpower
[11-Sep-2011 23:25:36]  <Osip_Zhgun[Barcode]> !roll 1d100
[11-Sep-2011 23:25:36]  <GameServ> 50 == 50
[11-Sep-2011 23:25:41]  <Gendo> Dr. Murai:  "We're getting the Evas prepped for deployment, it'll take a couple minutes"
[11-Sep-2011 23:25:45]  <Loki_Weyland> Great.
[11-Sep-2011 23:25:46]  <Motoko> ... well, at least I got the simulator time I wanted ... but not nearly enough of it ...
[11-Sep-2011 23:26:02]  <Gendo> Even inside the entry plugs, you guys feel the dull rumble of a distant blast.
[11-Sep-2011 23:26:16]  <Gendo> Someone on the com shouts "SHIT!"
[11-Sep-2011 23:26:20]  * Osip_Zhgun[Barcode] immediately starts powering up the Trident. "Commander, what is the fastest way out of this hangar? I am moving to intercept!"
[11-Sep-2011 23:26:21]  <Cassie> "It should be fine pilot Motoko. If all else fails, getting the Eva worked up and pointing it at the target seems to work."
[11-Sep-2011 23:26:28]  <Loki_Weyland> Hey, if anyone dies, I call dibs on their stuff.
[11-Sep-2011 23:27:10]  <Cassie> "What possible use would you have for girls clothes pilot Loki?"
[11-Sep-2011 23:27:10]  <Osip_Zhgun[Barcode]> The air vibrates with a mechanical wail as the Trident's reactor turbine spins up to optimal speed.
[11-Sep-2011 23:27:11]  <Motoko> Well, Cassie, if nothing else works out...
[11-Sep-2011 23:27:14]  <Gendo> Colonel Ishihara appears on the link:  "Osip, at the far end of the hangar is an elevator that will take you to the surface.  Use it.".
[11-Sep-2011 23:27:31]  <Loki_Weyland> Nothing conventional, but I'd find a use for 'em.
[11-Sep-2011 23:27:46]  <JackMackerel> "If I die, Loki and Cassie get to keep my knives. Hey, guys, what about the rest of us?!"
[11-Sep-2011 23:27:53]  <Loki_Weyland> $ Motoko Was that supposed to be OOC?
[11-Sep-2011 23:27:58]  <Gendo> [now I need to go find all my charts and stuff]
[11-Sep-2011 23:28:01]  <Osip_Zhgun[Barcode]> "Roger that." Osip disengages the leg locks and begins running for the elevator. The entry plugs vibrate slightly with each receding step.
[11-Sep-2011 23:28:12]  <Osip_Zhgun[Barcode]> [should I roll for agility as I hurry or is that dumb and stupid]
[11-Sep-2011 23:28:23]  <Gendo> Osip_Zhgun[Barcode]: Don't worry about it.
[11-Sep-2011 23:28:25]  <Osip_Zhgun[Barcode]> [k]
[11-Sep-2011 23:28:42]  <Lou> I don't think this is the time, Mr. Weyland.
[11-Sep-2011 23:28:47]  <Motoko> 14Loki_Weyland: Hm? No, that was in response to Cassie's first comment.
[11-Sep-2011 23:28:50]  <Loki_Weyland> $ Ah.
[11-Sep-2011 23:28:52]  <Gendo> The vision of the Cage returns to your plugs.
[11-Sep-2011 23:29:04]  <Loki_Weyland> There's always a time for jokes, Lou. Gotta keep those spirits up!
[11-Sep-2011 23:29:08]  * Osip_Zhgun[Barcode] begins riding to the surface. He itches to fire his jump jets.
[11-Sep-2011 23:29:16]  <Lou> ...
[11-Sep-2011 23:29:32]  <Osip_Zhgun[Barcode]> [http://www.youtube.com/watch?v=Y5Qo9iAB9q0&feature=BFa&list=PL251A0692AED4D1B9&lf=mh_lolz&shuffle=583592]
[11-Sep-2011 23:29:33]  <Omnipresence> 14URL: [www.youtube.com] 14Neon Genesis Evangelion OST 1 - Decisive Battle - YouTube
[11-Sep-2011 23:29:36]  <Gendo> The male voice comes over the com:  "MAGI are running an analysis.  Evangelions will be deployed in 5"
[11-Sep-2011 23:29:39]  <JackMackerel> "Hurry it up, hurry it up, longer we wait, the more time the thing gets to prepare~"
[11-Sep-2011 23:29:39]  <Motoko> If Loki_Weyland were to trip and fall face-first while in his Eva, I think that would be hilarious...
[11-Sep-2011 23:30:03]  <Osip_Zhgun[Barcode]> [lmk if I get to the surface earlier, and if so, what I can do]
[11-Sep-2011 23:30:14]  <Motoko> 14Can we intermission sometime soon? Wrists again.
[11-Sep-2011 23:30:16]  <Lou> [fuck fuck fuck chickens agh]
[11-Sep-2011 23:30:32]  <Cassie> [Commercial break?]
[11-Sep-2011 23:30:32]  <JackMackerel> @ship Lou/Roosters
[11-Sep-2011 23:30:32]  <Omnipresence> 14JackMackerel: Ship request successful! <3
[11-Sep-2011 23:30:39]  <Gendo> [Let's take a brief commercial break now]
[11-Sep-2011 23:30:45]  <Gendo> -ENTERING META-
[11-Sep-2011 23:30:49]  * Motoko cues cliffhanger music
[11-Sep-2011 23:30:53]  <Loki_Weyland> Right.
[11-Sep-2011 23:30:57]  <Loki_Weyland> I have a friend to help, actually.
[11-Sep-2011 23:31:00]  <JackMackerel> (Insert Cruel Angels' Thesis heere)
[11-Sep-2011 23:31:06]  <Loki_Weyland> FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF-
[11-Sep-2011 23:31:11]  <Gendo> brb
[11-Sep-2011 23:31:16]  <Loki_Weyland> We're trying to get the sound working on his Shuttle/.
[11-Sep-2011 23:31:23]  <Osip_Zhgun[Barcode]> Shuttle?
[11-Sep-2011 23:31:44]  <Loki_Weyland> @w Shuttle PC
[11-Sep-2011 23:31:46]  <Omnipresence> 14Loki_Weyland: Wikipedia (full-text): 14Shuttle Inc.14: Shuttle (TAIEX:2405) is a Taiwan-based manufacturer of motherboards, barebone computers, complete PC systems, and monitors. Thro... — http://en.wikipedia.org/wiki/Shuttle_Inc.
[11-Sep-2011 23:31:47]  <JackMackerel> (Hey, hey guys, when Solstace's game is done, how many of you are interested in a GURPS/Adeptus mashup?)
[11-Sep-2011 23:32:00]  <Loki_Weyland> I've already mentioned my interest.
[11-Sep-2011 23:32:26]  <JackMackerel> (I'll need a co-GM, though, I'm slow as fuck when it comes to RP.)
[11-Sep-2011 23:32:36]  <Osip_Zhgun[Barcode]> how would that work
[11-Sep-2011 23:32:57]  <JackMackerel> (It's basically Infantry EVA. :V)
[11-Sep-2011 23:33:32]  <JackMackerel> (EVAs are combat suits instead of 8359045839045839045890whatever tall humanoids. Also, will implement stuff from Fallout RPG.
[11-Sep-2011 23:33:52]  <Osip_Zhgun[Barcode]> how would they go berserk then?
[11-Sep-2011 23:34:04]  <Osip_Zhgun[Barcode]> also this means you're making W.A.L.K.E.R., then? :P
[11-Sep-2011 23:34:32]  <JackMackerel> (:V)
[11-Sep-2011 23:34:48]  <Gendo> Also, I'd like to apologize for my extra-slowness today.  I'm coming down with a bit of a summer cold, so I'm not all here at the moment.
[11-Sep-2011 23:34:49]  <JackMackerel> (Yeah. I was thinking Berserk only happens if the pilot's... unstable.)
[11-Sep-2011 23:34:57]  <Motoko> JackMackerel: GURPde(r)ptus?
[11-Sep-2011 23:35:10]  <Osip_Zhgun[Barcode]> gurp derp
[11-Sep-2011 23:35:31]  <Cassie> Hey Jackerel, what's your Eva's number again?
[11-Sep-2011 23:35:42]  <Gendo> 13
[11-Sep-2011 23:35:43]  <JackMackerel> 1.
[11-Sep-2011 23:35:44]  <JackMackerel> 13.
[11-Sep-2011 23:35:45]  <JackMackerel> Fuck.
[11-Sep-2011 23:35:49]  <Osip_Zhgun[Barcode]> four~
[11-Sep-2011 23:36:01]  <Osip_Zhgun[Barcode]> Gendo: NP. I've been sleeping on and off for like 4 hours since I got home this morning from a party. I'm pretty hardy but I've been in bad shape today too. :P
[11-Sep-2011 23:36:07]  <Motoko> Can somebody try highlighting me in the middle of a line?
[11-Sep-2011 23:36:21]  <Gendo> And then Motoko said "No soap, radio"!
[11-Sep-2011 23:36:24]  <Gendo> Like that?
[11-Sep-2011 23:36:35]  * JackMackerel gently carresses Motoko discreetly, softly.
[11-Sep-2011 23:36:44]  <Motoko> Try again.
[11-Sep-2011 23:36:51]  <Osip_Zhgun[Barcode]> the PPCs flew through the air, Motoko - ing azure paths into the Clanner's torso.
[11-Sep-2011 23:36:56]  <Cassie> Is this in Eva, or out of Eva?
[11-Sep-2011 23:37:02]  <Motoko> Okay, that woeks. Thanks.
[11-Sep-2011 23:37:04]  <Motoko> * works
[11-Sep-2011 23:37:06]  <Lou> jailbreak! x_x
[11-Sep-2011 23:37:10]  <Lou> [er]
[11-Sep-2011 23:37:12]  <Osip_Zhgun[Barcode]> the chickens?
[11-Sep-2011 23:37:16]  <Osip_Zhgun[Barcode]> no worries we haven't started
[11-Sep-2011 23:37:19]  <Lou> [yes but]
[11-Sep-2011 23:37:21]  <Lou> [oh okay.]
[11-Sep-2011 23:37:30]  <Cassie> Use your fellow pilot's head as a battering ram?
[11-Sep-2011 23:37:32]  <Osip_Zhgun[Barcode]> cluck cluck cluck
[11-Sep-2011 23:37:33]  <Lou> [Thankg oodness for Gendo's shitty typing speed]
[11-Sep-2011 23:37:37]  <Motoko> Irssi's "highlight on nick mention" only covers occurrences at the beginning of a line, for some reason.
[11-Sep-2011 23:38:06]  <Loki_Weyland> You should use Pidgin!
[11-Sep-2011 23:38:19]  <Lou> [so what happened to the alien monstrosity business]
[11-Sep-2011 23:38:20]  <Osip_Zhgun[Barcode]> Ангел должен умереть!
[11-Sep-2011 23:38:24]  <Gendo> Lou: It's not really the typing speed at the moment.  It's more the reading/processing speed.
[11-Sep-2011 23:38:34]  <Osip_Zhgun[Barcode]> Lou: it was about to happen and then we paused
[11-Sep-2011 23:38:42]  <Osip_Zhgun[Barcode]> or rather it happened and then we stopped before attacking it
[11-Sep-2011 23:38:52]  <Motoko> Loki_Weyland: ahahaha no. I just added a highlight for "Motoko" in this channel. ;)
[11-Sep-2011 23:39:00]  <Loki_Weyland> Heh.
[11-Sep-2011 23:39:31]  <Motoko> Pidgin's IRC support is pretty tragicomic, kind of like Irssi's XMPP support actually.
[11-Sep-2011 23:39:32]  <Lou> [I actually had to chase one of the fuckers down, hate hate hate]
[11-Sep-2011 23:39:35]  <Gendo> Oh, for the record, the unknown male voice on the com is another tech.
[11-Sep-2011 23:39:45]  <Gendo> Name is Ryuuzou Takehara.
[11-Sep-2011 23:39:47]  <Loki_Weyland> Thought so.
[11-Sep-2011 23:39:49]  <Loki_Weyland> Hm.
[11-Sep-2011 23:39:50]  <JackMackerel> Lou: Ugh, I hate that.
[11-Sep-2011 23:40:08]  <Motoko> Gendo: >Ryuuzou
[11-Sep-2011 23:40:19]  <Lou> [It's like Ocarine of Time, except I can't stab them]
[11-Sep-2011 23:40:31]  <Gendo> Hasn't been formally introduced yet, but I think that "unknown male voice" makes him sound more mysterious than he is.
[11-Sep-2011 23:40:43]  <Gendo> Motoko: I stole the name from somewhere.  I don't remember.
[11-Sep-2011 23:40:54]  <Gendo> I think it was the VA of some Angel Beats character.  
[11-Sep-2011 23:40:56]  <Osip_Zhgun[Barcode]> ugryuu~
[11-Sep-2011 23:40:57]  <Lou> But really what are we doing what hapepend
[11-Sep-2011 23:41:08]  <Gendo> Lou: Currently on Intermission.
[11-Sep-2011 23:41:08]  <Lou> oh.  nothing.
[11-Sep-2011 23:41:13]  <Osip_Zhgun[Barcode]> Lou: EHNJEL appeared, hten we intermission'd
[11-Sep-2011 23:41:18]  <Cassie> How was Angel Beats anyways? I thought about picking it up at the store, but bought FLCL instead.
[11-Sep-2011 23:41:24]  <JackMackerel> Wise choice.
[11-Sep-2011 23:41:26]  <Gendo> Cassie: Don't buy it.
[11-Sep-2011 23:41:33]  * Lou goes out to confections to get some popcorn, milk duds
[11-Sep-2011 23:41:33]  <JackMackerel> Gendo: You did read Aeon Natum Engel, right?
[11-Sep-2011 23:41:39]  <Gendo> JackMackerel: Nope.
[11-Sep-2011 23:41:43]  <Lou> [It's pretty good]
[11-Sep-2011 23:41:54]  <Gendo> Motoko: How are the wrists?
[11-Sep-2011 23:42:08]  <Motoko> Gendo: Better now, just needed a break.
[11-Sep-2011 23:42:14]  <Gendo> Okay.
[11-Sep-2011 23:42:27]  <Osip_Zhgun[Barcode]> Motoko: You ever considered physio? Or, well…looking up stretches?
[11-Sep-2011 23:42:30]  <Gendo> Gimme a second to try to gather myself, and then we'll restart.
[11-Sep-2011 23:42:31]  <JackMackerel> ...wrists. `-`
[11-Sep-2011 23:43:22]  <Motoko> Osip_Zhgun[Barcode]: I usually take frequent breaks, but that's harder to do during RP sessions. It's not a real issue if we intermission, though.
[11-Sep-2011 23:43:24]  <Loki_Weyland> Cassie: Angel Beats was cool. Nothing great, though.\
[11-Sep-2011 23:43:32]  <Loki_Weyland> TK was the best part of that show.
[11-Sep-2011 23:43:36]  <Gendo> Cassie: Also Angel Beats had a terrible ending.
[11-Sep-2011 23:43:37]  <Loki_Weyland> @yt Angel Beats TK
[11-Sep-2011 23:43:37]  <Omnipresence> 14Loki_Weyland: YouTube: 14The very best of TK - Angel Beats [HD] (HQ)14, 36,885 views: http://www.youtube.com/watch?v=ybvEv7759yg
[11-Sep-2011 23:43:37]  <Osip_Zhgun[Barcode]> Arright.
[11-Sep-2011 23:43:53]  <Gendo> Alright.
[11-Sep-2011 23:43:57]  <Gendo> About to restart.....
[11-Sep-2011 23:44:06]  <Osip_Zhgun[Barcode]> http://upload.wikimedia.org/wikipedia/commons/9/93/Space_activity_suit.jpg Osip is (not) wearing this
[11-Sep-2011 23:44:07]  <Omnipresence> 14URL: [upload.wikimedia.org] JPEG image (192 × 350 pixels, 31.3 kilobytes)
[11-Sep-2011 23:44:18]  <Loki_Weyland> Ha ha ha, no.
[11-Sep-2011 23:44:21]  <Osip_Zhgun[Barcode]> :P
[11-Sep-2011 23:44:28]  <Lou> [hott]
[11-Sep-2011 23:44:57]  <Osip_Zhgun[Barcode]> the way I'm thinking of it it's plugsuit + bulky ports everywhere + metal tank crewman ushanka
[11-Sep-2011 23:45:01]  <Gendo> ....
[11-Sep-2011 23:45:05]  <Osip_Zhgun[Barcode]> giant metal tank crewman ushanka*
[11-Sep-2011 23:45:15]  <Gendo> I think I need to change the range on this Angel's attack.
[11-Sep-2011 23:45:28]  <Motoko> 覚悟しました
[11-Sep-2011 23:45:33]  <Gendo> 60dm is way too small for this scale of battle.
[11-Sep-2011 23:45:58]  <Motoko> 600m? That's nothing to scoff at...
[11-Sep-2011 23:46:04]  <Osip_Zhgun[Barcode]> in battletech that's good range
[11-Sep-2011 23:46:09]  <Motoko> Oh, wait, no, that's 60Dm. >_>
[11-Sep-2011 23:46:15]  <Lou> [I'm so glad decameters get some use in this game]
[11-Sep-2011 23:46:16]  <Gendo> Oh.
[11-Sep-2011 23:46:21]  <Gendo> I need to doublecheck that, then.
[11-Sep-2011 23:46:22]  <Motoko> 60dm would be... 6m. x_x
[11-Sep-2011 23:46:25]  <Osip_Zhgun[Barcode]> oh whoops.
[11-Sep-2011 23:46:34]  <Gendo> It probably is 60Dm, but I noted it wrong.
[11-Sep-2011 23:46:37]  <Gendo> Gotta double check.
[11-Sep-2011 23:46:45]  <Cassie> [Decameters are glad they get to be used at all]
[11-Sep-2011 23:46:50]  <Motoko> Why can't they just use normal unprefixed meters like everyone else...
[11-Sep-2011 23:46:53]  <Lou> [it's actually 60 dam]
[11-Sep-2011 23:46:57]  <Osip_Zhgun[Barcode]> http://www.youtube.com/watch?v=7QNU7thTu_Y&feature=fvwp&NR=1 all mecha fans like papa roach, this is a fact
[11-Sep-2011 23:46:57]  <Omnipresence> 14URL: [www.youtube.com] 14EVA - 01: THE BEAST_AMV (PaPa RoAcH - dead cell) - YouTube
[11-Sep-2011 23:47:09]  <Lou> [motoko: because it's hacked up from a system that uses meters by unit changing]
[11-Sep-2011 23:47:21]  <Motoko> "Each decameter (dm) is equal to 10 meters." p92
[11-Sep-2011 23:47:35]  <Osip_Zhgun[Barcode]> so did they just fuck that up then
[11-Sep-2011 23:47:40]  <Lou> [Well, 4chan isn't expected to understand metric]
[11-Sep-2011 23:47:44]  <Lou> [or anything, amirite]
[11-Sep-2011 23:47:46]  <Osip_Zhgun[Barcode]> :}
[11-Sep-2011 23:48:02]  <Loki_Weyland> Osip_Zhgun[Barcode]: Why did you link this?
[11-Sep-2011 23:48:18]  <Gendo> Motoko: Okay, so, 600m.  That's a lot more acceptable.
[11-Sep-2011 23:48:19]  <Osip_Zhgun[Barcode]> It was related to a song related to the one I linked earlier
[11-Sep-2011 23:48:28]  <Osip_Zhgun[Barcode]> that's all.
[11-Sep-2011 23:48:39]  <Motoko> 4CHAN: NOT caSE seNSitivE
[11-Sep-2011 23:48:44]  <Gendo> -END OF INTERMISSION-
[11-Sep-2011 23:48:58]  <JackMackerel> >:|
[11-Sep-2011 23:49:08]  <Loki_Weyland> $ We back in character now?
[11-Sep-2011 23:49:10]  <Gendo> Alright, so Osip_Zhgun[Barcode], you're the first aboveground.
[11-Sep-2011 23:49:11]  <Motoko> 14I wonder if they're taking errata.
[11-Sep-2011 23:49:25]  * Osip_Zhgun[Barcode] surveys the landscape for the Angel. [perception?]
[11-Sep-2011 23:49:30]  <Lou> [I'm telling you, decameter is dam, whores]
[11-Sep-2011 23:49:45]  * Osip_Zhgun[Barcode] starts taking jogging steps out of the elevator, surveying the*
[11-Sep-2011 23:49:48]  <Gendo> A minute or so later, the Evas appear above ground, too.
[11-Sep-2011 23:49:50]  <Osip_Zhgun[Barcode]> [and watching my step ofc]*
[11-Sep-2011 23:50:06]  <Gendo> Osip_Zhgun[Barcode]: Awareness check, if you have it.  Otherwise, perception.
[11-Sep-2011 23:50:28]  <Osip_Zhgun[Barcode]> [I got awareness "+10". So I just add 10 to my perception roll right?
[11-Sep-2011 23:50:32]  <Osip_Zhgun[Barcode]> [subtract*]
[11-Sep-2011 23:50:40]  <Osip_Zhgun[Barcode]> !roll 1d100
[11-Sep-2011 23:50:40]  <GameServ> 98 == 98
[11-Sep-2011 23:50:45]  <Osip_Zhgun[Barcode]> [okay, so I fail.]
[11-Sep-2011 23:50:51]  <Gendo> Yeah, that's a fail.
[11-Sep-2011 23:50:59]  <Gendo> I think.
[11-Sep-2011 23:51:04]  <Osip_Zhgun[Barcode]> [it's a blatant one]
[11-Sep-2011 23:51:17]  <Gendo> Actually, it depends on what the Angel rolled.
[11-Sep-2011 23:51:22]  <Osip_Zhgun[Barcode]> [38 + 10 is my perception if awarness adsd  +10, that's still 5 degrees of failure - oh right]
[11-Sep-2011 23:51:22]  <Gendo> (lemme do that.
[11-Sep-2011 23:51:26]  <Osip_Zhgun[Barcode]> [wait what the hell, how does
[11-Sep-2011 23:51:33]  <Osip_Zhgun[Barcode]> [oh rigth. well, go ahead, I remember that being in the rules]
[11-Sep-2011 23:51:47]  <JackMackerel> "Do we have a HUD that feeds information to one another? I don't see it."
[11-Sep-2011 23:51:53]  <Gendo> Yeah, you fail hardcore.
[11-Sep-2011 23:52:03]  <JackMackerel> "It shouldn't be hard to pick out, it's a damn kaiju!"
[11-Sep-2011 23:52:25]  <Osip_Zhgun[Barcode]> "This is Osip Zhgun. I have ZERO confirmation on the Angel's location. Does anyone else have contact?"
[11-Sep-2011 23:52:30]  <Loki_Weyland> $ Do I roll as well?
[11-Sep-2011 23:52:33]  <Cassie> "It could be invisible for all we know pilot Jaqueline."
[11-Sep-2011 23:52:37]  * Osip_Zhgun[Barcode] keeps jogging down the main street, keeping his eyes open
[11-Sep-2011 23:52:55]  <Gendo> All characters get to make awareness/perception checks.
[11-Sep-2011 23:53:01]  <Cassie> [The image of a TRIDENT jogging cracks me up. Shorts and sweat bands optional]
[11-Sep-2011 23:53:03]  <Loki_Weyland> !roll d100
[11-Sep-2011 23:53:03]  <GameServ> 85 == 85
[11-Sep-2011 23:53:03]  <Motoko> 14Are we just skipping the spawn location thing and sticking it straight in the middle of...?
[11-Sep-2011 23:53:10]  <Loki_Weyland> $ ...Shit.
[11-Sep-2011 23:53:12]  <Lou> !roll d100
[11-Sep-2011 23:53:12]  <GameServ> 93 == 93
[11-Sep-2011 23:53:15]  <Cassie> !roll d100
[11-Sep-2011 23:53:15]  <GameServ> 93 == 93
[11-Sep-2011 23:53:16]  <Motoko> !roll d100
[11-Sep-2011 23:53:16]  <GameServ> 28 == 28
[11-Sep-2011 23:53:17]  <Lou> [goddamn man]
[11-Sep-2011 23:53:26]  <Osip_Zhgun[Barcode]> [motoko makes it]
[11-Sep-2011 23:53:35]  <JackMackerel> "Cass, even if it's invisible, it shouldn't be hard. Thing's too large to keep its cloak in check..."
[11-Sep-2011 23:53:36]  <Motoko> 14Gendo, that's 28 <= 32 = pass.
[11-Sep-2011 23:53:39]  <JackMackerel> !roll d100
[11-Sep-2011 23:53:39]  <GameServ> 87 == 87
[11-Sep-2011 23:53:41]  <Cassie> That's kinda eerie that me and Lou got the same failure roll.
[11-Sep-2011 23:53:44]  <JackMackerel> (Epic fail)
[11-Sep-2011 23:53:59]  <Gendo> (actually, I think this check is slightly different.  Lemme go look it up(
[11-Sep-2011 23:54:03]  <Osip_Zhgun[Barcode]> [Cassie - think of it as a speed that allows me to see things reasonably well. sprinting speed means THUMP THUMP THUMP THUMP *screen is a blur, even if my cockpit isn't shaking*]
[11-Sep-2011 23:54:35]  <Motoko> 14Well, at least I'm capable of doing *something* useful, right?!
[11-Sep-2011 23:54:56]  <Lou> [motoko has been promoted to Spotter]
[11-Sep-2011 23:55:02]  <Cassie> [I know, I'm just joking]
[11-Sep-2011 23:55:06]  <JackMackerel> "Everyone, check those corners... who knows if it's ranged?"
[11-Sep-2011 23:55:10]  <Gendo> Oh wait.
[11-Sep-2011 23:55:17]  <Loki_Weyland> "I got nothin'."
[11-Sep-2011 23:55:25]  <Gendo> I was doing this wrong.
[11-Sep-2011 23:55:33]  <Gendo> Angel failed its check >.>
[11-Sep-2011 23:55:40]  <Cassie> "At this point we don't know anything. Can't the Magi triangulate the blue pattern to give us a better idea?"
[11-Sep-2011 23:55:41]  <Loki_Weyland> $ Pfft.
[11-Sep-2011 23:55:46]  <Osip_Zhgun[Barcode]> [text us up, scotty]
