[16-Sep-2011 05:14:19]  <Jaqueline_de_Maquerel> ((IC MODE ON))
[16-Sep-2011 07:01:15]  <Loki_Weyland> $ Per chapter, that is.
[16-Sep-2011 07:01:23]  <Jaqueline_de_Macquerel> ( Okay, sorry about crap RP on my end. I dunno why I was slow... )
[16-Sep-2011 07:01:26]  <Loki_Weyland> $ But as it stands, I think this is enough for now.
[16-Sep-2011 07:01:33]  <Loki_Weyland> $ Other things on your mind?
[16-Sep-2011 07:01:50]  <Loki_Weyland> $ And I've been slow too. I have a pre-alpha to join.
[16-Sep-2011 07:03:40]  <Jaqueline_de_Macquerel> (( Eh, not much. I think I'm tired. I want to RP all the time, but when I do, it's shitty. ))
[16-Sep-2011 07:04:13]  <Loki_Weyland> $ Heh.
[16-Sep-2011 07:04:28]  <Loki_Weyland> $ EXITING IN-CHARACTER MODE, WHICH WE SHOULD'VE DONE A WHILE AGO.
[16-Sep-2011 07:04:43]  <Loki_Weyland> But yeah, we're done for now.
[16-Sep-2011 07:04:45]  *** Jaqueline_de_Macquerel is now known as Jack|Shower
[16-Sep-2011 07:04:45]  *** Rinsing is now known as Cassie
[16-Sep-2011 07:04:54]  <Cassie> *reads*
[16-Sep-2011 07:05:00]  <Jack|Shower> (( Alk: I can do a solo scene with you if you want. :V ))
[16-Sep-2011 07:05:00]  <Cassie> Boooooo
[16-Sep-2011 07:05:10]  <Cassie> Sure, after your shower.
[16-Sep-2011 07:05:18]  <Jack|Shower> (( Make it non-canon or something. ))
[16-Sep-2011 07:05:23]  <Loki_Weyland> I ain't writing all of this up, I hope you know.
[16-Sep-2011 07:05:35]  <Loki_Weyland> I expect you guys to pick up some of the slack.
[16-Sep-2011 07:06:32]  <Jack|Shower> (( Lazy. >:| ))
[16-Sep-2011 07:07:19]  <Loki_Weyland> Yes.
[16-Sep-2011 07:07:34]  <Cassie> We already had Lou make a cameo, <-- WHy do I get the feeling that Lou navigates through NERV HQ via the ventilation system
[16-Sep-2011 07:07:47]  <Jack|Shower> What, like that Tooms guy from X-Files?
[16-Sep-2011 07:07:58]  <Jack|Shower> Also, can I get backstories for all the pilots?
[16-Sep-2011 07:08:05]  <Loki_Weyland> Jack|Shower: Read Nobody Dies.
[16-Sep-2011 07:08:08]  <Jack|Shower> >:|
[16-Sep-2011 07:08:37]  <Loki_Weyland> DO EET.
[16-Sep-2011 07:48:46]  *** Jack|Shower is now known as Jaqueline_de_Macquerel
[16-Sep-2011 07:48:49]  <Jaqueline_de_Macquerel> Cassie: I'm back.
[16-Sep-2011 07:49:04]  <Cassie> Still here.
[16-Sep-2011 07:49:11]  <Jaqueline_de_Macquerel> Alright.
[16-Sep-2011 07:49:26]  * Jaqueline_de_Macquerel raps loudly at Cassie's door. "Heeeeeeeeeeeeeeeeeere's Jackie!"
[16-Sep-2011 07:50:07]  <Cassie> "Hello?"
[16-Sep-2011 07:52:00]  <Jaqueline_de_Macquerel> "Hello~"
[16-Sep-2011 07:52:05]  <Jaqueline_de_Macquerel> (Sorry if I'm slow.)
[16-Sep-2011 07:52:14]  <Cassie> [No prob]
[16-Sep-2011 07:53:08]  <Cassie> "Um... do you require assistance pilot Jaqueline?" asks Cassie. It is hard to tell if the awkward is from a shaky grasp of Japenese or just being nervous.
[16-Sep-2011 07:53:31]  <Jaqueline_de_Macquerel> "Hey, are you still pissed off about the fight with the zombie earlier? C'mon, I'll help you take your mind off it!"
[16-Sep-2011 07:53:51]  <Jaqueline_de_Macquerel> (( They both can speak English... IIRC, only Motoko can speak it. ))
[16-Sep-2011 07:54:01]  <Jaqueline_de_Macquerel> (( HEY SOLSTACE can you confirm that the sessions are entirely in English? ))
[16-Sep-2011 07:54:43]  <Solstace> They aren't.
[16-Sep-2011 07:55:28]  <Solstace> Rudimentary Japanese was provided for the pilots that aren't of the prodigy background, as they had been previously contacted by NERV, blah blah blah.
[16-Sep-2011 07:55:28]  <Jaqueline_de_Macquerel> (( ... ))
[16-Sep-2011 07:55:47]  <Solstace> And Motoko is Japanese, and also the only Prodigy.  So it works.
[16-Sep-2011 07:56:01]  <Jaqueline_de_Macquerel> (( Okay. Jack's proficient in it, since she spent some time in Japan and lived in an expat area of Hong Kong and had some Japanese friends. ))
[16-Sep-2011 07:56:36]  <Cassie> I thought Loki was also a prodigy?
[16-Sep-2011 07:57:01]  <Loki_Weyland> Yep.
[16-Sep-2011 07:57:09]  <Loki_Weyland> He's also a weeaboo, if that helps.
[16-Sep-2011 07:57:19]  <Solstace> Oh.
[16-Sep-2011 07:57:40]  <Solstace> Loki's dad is also involved with NERV, so his status as a pilot has been guaranteed for a while.
[16-Sep-2011 07:58:30]  <Jaqueline_de_Macquerel> (( ...Oh, Jack's also a weeaboo, too, so. ))
[16-Sep-2011 07:58:57]  <Cassie> "Come on son, make your dad proud! Pilot the magic murder cyborg to save humanity! Everyone will look at you and think 'gosh that kid's so cool, I want to be his friend/bone him!' Do it son. Just do it."
[16-Sep-2011 08:00:04]  <Cassie> Cassie opens the door a bit and asks "What did you have in mind pilot Jaqueline?"
[16-Sep-2011 08:00:45]  * Jaqueline_de_Macquerel grins horribly and grabs her arm. "We're goin' to town! Tokyo's fun at night~"
[16-Sep-2011 08:00:51]  <Jaqueline_de_Macquerel> (( Wait, this is Tokyo-3, right? I herp and derp. ))
[16-Sep-2011 08:01:59]  <Cassie> Cassie blinks "Why is it fun at night? Is there a curfew during the day?"
[16-Sep-2011 08:02:45]  <Jaqueline_de_Macquerel> No, thilly gooth. Nightlife! Partying! Peoplewatching! Arcades and stuff! Hey, I hear there's a firing range we can check out, too!
[16-Sep-2011 08:03:54]  <Cassie> "I suppose I should improve my ranged combat skills. My focus has been primarily melee training, for all the good it did" responds Cassie after a moment of thought.
[16-Sep-2011 08:04:31]  <Jaqueline_de_Macquerel> "Come on, what the heck do you do in there for the rest of your free time, anyway?"
[16-Sep-2011 08:04:41]  <Jaqueline_de_Macquerel> (( Er, retcon that, hold on. ))
[16-Sep-2011 08:05:29]  <Jaqueline_de_Macquerel> Thatagirl! You're making me day. Now, we could also go shopping, or maybe I could teach you how to use a knife, there's a cool little blade shop I hit up the other day...
[16-Sep-2011 08:05:34]  * Jaqueline_de_Macquerel drags Cassie along.
[16-Sep-2011 08:05:45]  <Jaqueline_de_Macquerel> You're gonna have fun, whether you like it or not~
[16-Sep-2011 08:05:50]  <Jaqueline_de_Macquerel> Think of it as your first time out!
[16-Sep-2011 08:06:43]  <Cassie> Cassie gives a week smile "Regrettably it is pilot Jaqueline. I never had a reason to leave NERV Toronto before the transfer here."
[16-Sep-2011 08:07:25]  <Jaqueline_de_Macquerel> Never fear, Jackie's here! I promise I'll be gentle~
[16-Sep-2011 08:07:37]  <Cassie> "As such I think it would be best to defer to your judgement on what to do."
[16-Sep-2011 08:07:48]  * Jaqueline_de_Macquerel grins. "Oooh, we're going to have lots of fun~"
[16-Sep-2011 08:09:12]  * Jaqueline_de_Macquerel drags Cassie out of the Geofront and walks her out into the city. The cicadas are crying, people are out and about. The lights are more impressive than Las Vegas's.
[16-Sep-2011 08:09:39]  <Jaqueline_de_Macquerel> What DO you do in that room of yours, anyway? I usually spend all my time on knives~
[16-Sep-2011 08:10:01]  <Cassie> [This is Cassie's conditioned trait coming to the front. She may protest about things or try to deflect things but she is a huge pushover and will do whatever most people ask if she can't think of an alternative]
[16-Sep-2011 08:10:53]  <Cassie> "Today I was going over the materials to learn Japanese. I'm finding it difficult to talk a lot of the time."
[16-Sep-2011 08:11:28]  <Jaqueline_de_Macquerel> "What better way than to go out and use it to other people, eh? Don't worry, if they're mean, I'll stick a 16-inch blade down their throats."
[16-Sep-2011 08:11:43]  *** Solstace <~Solstace@97-120-67-27.ptld.qwest.net> has quit IRC (Quit: אלוהים הוא בשמיים שלו, וכל נכון עם העולם)
[16-Sep-2011 08:13:06]  <Jaqueline_de_Macquerel> So, you hungry or somethin'? Want a bite to eat?
[16-Sep-2011 08:13:49]  <Cassie> "Won't this run contrary to NERV's nutrition plan?"
[16-Sep-2011 08:14:47]  <Jaqueline_de_Macquerel> "Who cares, 'cept for some no-nonsense egghead~?"
[16-Sep-2011 08:14:49]  <Cassie> "And please don't stab rude people Jaqueline."
[16-Sep-2011 08:15:01]  <Jaqueline_de_Macquerel> "Why not~? They tend to learn~."
[16-Sep-2011 08:16:23]  <Cassie> "B-because Eva pilots are supposed to kill Angels and only Angels!" blurts out Cassie a little too loudly
[16-Sep-2011 08:16:43]  <Jaqueline_de_Macquerel> <Some of the pedestrians stare, but most carry on. Oh, Japan.>
[16-Sep-2011 08:17:09]  <Jaqueline_de_Macquerel> (( We're the only EVA pilots as far as we know, right? ))
[16-Sep-2011 08:18:16]  <Cassie> (Yes, but Cassie was part of a training program. She just had the highest scores and was selected as an official pilot)
[16-Sep-2011 08:19:43]  <Jaqueline_de_Macquerel> "Eh, I'll just give him a scar to tell his bandit asshole friends about. Besides, the only prick who'd pick on you would be jackass street thugs."
[16-Sep-2011 08:20:54]  <Jaqueline_de_Macquerel> (Hmm...)
[16-Sep-2011 08:20:56]  <Cassie> "I apologize for the outburst pilot Jaqueline. What do you suggest we do first?" asks Cassie trying to move past that lapse of composure.
[16-Sep-2011 08:22:15]  <Jaqueline_de_Macquerel> "S'fine. You're a good kid." She slaps Cassie on the back. "If anything, tells me you're not an asshole! So, if you wanna eat, or get something to drink... if you don't, let's go check out that firing range place. I have enough yen to last quite  a while.
[16-Sep-2011 08:23:32]  <Cassie> "You don't have to pay for everything. I have a decent sum of yen left over after the allocations."
[16-Sep-2011 08:24:26]  <Jaqueline_de_Macquerel> Nah, nah. Bullets are expensive! S'why I use knives more often. Less paying for 'em.
[16-Sep-2011 08:25:15]  <Cassie> Cassie smiles "I prefer melee weapons for certainty. Up close it is much easier to confirm if an Angel is actually dead and not playing possum."
[16-Sep-2011 08:26:16]  * Jaqueline_de_Macquerel grins. "Agreed. Agreed so much. After that, I'll show you that knife shop... I taught some tricks to Loki, so I'll teach you some as well~!"
[16-Sep-2011 08:27:14]  <Cassie> "I'm not sure knives are regulation on base" points out Cassie "My dad got into a lot of trouble when he had a signed baseball bat shipped to him"
[16-Sep-2011 08:27:48]  <Jaqueline_de_Macquerel> Really? The base I was at, you could open carry everything! Yeesh, you must have had some psycho go on a rampage for that.
[16-Sep-2011 08:29:21]  <Cassie> "Well a few candidates did snap from the training. One of my friends managed to hold the class hostage with a boxcutter and some rope for a few hours."
[16-Sep-2011 08:30:06]  * Jaqueline_de_Macquerel guffaws. "Really? He'd fit right in with the prog knives, then."
[16-Sep-2011 08:30:19]  * Jaqueline_de_Macquerel reaches the gun shop. It's horribly tacky, decked out in eye-watering flashing lights more suited to a Vegas casino than a firing range. Inside are two women who look barely out of high school, one with long red hair and the other wearing glasses and short, black hair. After some haggling and trying to get guns out of their cases, they're on a concrete firing range, with holographic targets in 
[16-Sep-2011 08:31:01]  * Jaqueline_de_Macquerel holds out a huge-ass revolver and... is that the pallet rifle?
[16-Sep-2011 08:31:07]  <Jaqueline_de_Macquerel> Pick one~
[16-Sep-2011 08:31:10]  <Cassie> Cassie frowns "Not anymore. I had to remove some fingers on his dominant hand when he tried to tie me up."
[16-Sep-2011 08:31:25]  <Jaqueline_de_Macquerel> (No cutoffs?)
[16-Sep-2011 08:31:41]  <Cassie> (she bit him)
[16-Sep-2011 08:31:55]  <Jaqueline_de_Macquerel> (Also, this line is before they reach the firing range) Oh. Niiice.
[16-Sep-2011 08:32:03]  <Jaqueline_de_Macquerel> (No, I meant did any text cutoff? :V)
[16-Sep-2011 08:32:34]  <Cassie> (No text cutoff}
[16-Sep-2011 08:32:59]  <Jaqueline_de_Macquerel> (K.)
[16-Sep-2011 08:33:37]  <Cassie> Cassie tilts her head at the revolver "Why would you build an Eva sized revolver? That's like trying to make a progressive ball and chain!"
[16-Sep-2011 08:35:33]  <Jaqueline_de_Macquerel> It's a simple design. Less prone to jamming... besides, a progressive ball-and-chain sounds cool. 'sides, this isn't THAT big!
[16-Sep-2011 08:38:26]  <Cassie> "The progressive ball and chain is on the list of projects NERV Toronto is not allowed to restart at any time ever again. A 20 meter spiked ball propelling itself across the countryside, picking up everything in the resonance field, it was doomed a disaster.
[16-Sep-2011 08:38:49]  <Jaqueline_de_Macquerel> ...I was kinda joking, but okay.
[16-Sep-2011 08:39:45]  <Cassie> "They did get valuable field data on the positron weapons when eliminating it though.
[16-Sep-2011 08:41:18]  <Cassie> "... sorry. I'll pick the pallet gun since I have familiarity with that wonder of engineering..." decides Cassie, with obvious contempt for the weapon.
[16-Sep-2011 08:41:34]  <Jaqueline_de_Macquerel> Don't knock it. It's not the pallet gun.
[16-Sep-2011 08:42:08]  <Jaqueline_de_Macquerel> Heck, the pallet gun just based its shape off it. This thing's called the Steyr ACR! It fires darts. Isn't that awesome?!
[16-Sep-2011 08:42:48]  <Cassie> "I ended up getting more kills in training when I started using that gun as a bludgeon" rants Cassie oblivious to Jaqueline's clarifications.
[16-Sep-2011 08:44:26]  * Jaqueline_de_Macquerel whistles and slides in very close to Cassie. "Here, I know the EVA gun's a piece of shit, but in the off chance you do have to use it, this might safe your life~." She's right behind Cass and manipulates her arms to hold the ACR properly...
[16-Sep-2011 08:46:23]  * Jaqueline_de_Macquerel 's mouth is right next to Cass's. "Pull the trigger gently. Like... uh. ...gently."
[16-Sep-2011 08:46:33]  <Jaqueline_de_Macquerel> (( WOO YURI BAIT ))
[16-Sep-2011 08:46:37]  <Cassie> Cassie freezes up as Jaqueline positions her body. Softly she asks "Is this correct or are further modifications to my posture required?" hoping to hide the waver in her voice.
[16-Sep-2011 08:47:59]  <Cassie> "Understood pilot Jaqueline" mouths Cassie in English. She pulls the trigger.
[16-Sep-2011 08:48:29]  <Jaqueline_de_Macquerel> <Uh... I was about to seriously ask to roll for accuracy, but that'd be dumb. :V>
[16-Sep-2011 08:48:51]  <Cassie> Regrettably she was too distracted to compensate for the recoil and subsequently elbows Jaqueline.
[16-Sep-2011 08:48:59]  <Jaqueline_de_Macquerel> Oof...
[16-Sep-2011 08:49:01]  <Jaqueline_de_Macquerel> (( lul ))
[16-Sep-2011 08:49:49]  <Cassie> "I'm sorry i'm sorry please don't stab me!"
[16-Sep-2011 08:50:02]  <Loki_Weyland> Premature firing?
[16-Sep-2011 08:50:46]  <Jaqueline_de_Macquerel> (( oh god. ))
[16-Sep-2011 08:51:06]  * Jaqueline_de_Macquerel blinks. "Why would I ever stab you?"
[16-Sep-2011 08:51:36]  <Cassie> Cassie blinks "Because I accidentally attacked you?" 
[16-Sep-2011 08:52:34]  <Jaqueline_de_Macquerel> Unless you tried to murder me, I'd never think of ruining your pretty face~
[16-Sep-2011 08:54:23]  * Jaqueline_de_Macquerel gets uncomfortably close again. "Let's continue..."
[16-Sep-2011 08:54:40]  <Jaqueline_de_Macquerel> (( should we draw this out or fast forward? ))
[16-Sep-2011 08:55:53]  <Cassie> (Fast forward before Section 2 chaperones have to storm in and pull them apart)
[16-Sep-2011 08:56:23]  <Jaqueline_de_Macquerel> (( lul. Hold on, be riiiiiiiiiiight back ))
[16-Sep-2011 08:59:24]  <Jaqueline_de_Macquerel> (( Back. ))
[16-Sep-2011 08:59:40]  <Jaqueline_de_Macquerel> <Some hours and thousands of spent shells later...>
[16-Sep-2011 08:59:54]  <Jaqueline_de_Macquerel> See, wasn't so bad, was it? Knives are still better, though.
[16-Sep-2011 09:00:04]  * Jaqueline_de_Macquerel inches closer to Cassie.
[16-Sep-2011 09:00:26]  <Cassie> "Yes. My fingers don't hurt after holding a knife or spear for so long."
[16-Sep-2011 09:01:03]  <Cassie> Cassie withdraws her posture into a tighter profile, but otherwise allows the encroachment.
[16-Sep-2011 09:02:34]  <Jaqueline_de_Macquerel> Good! Let's go for those blades, then~
[16-Sep-2011 09:02:40]  * Jaqueline_de_Macquerel 's grin is getting disturbing.
[16-Sep-2011 09:02:59]  <Jaqueline_de_Macquerel> <KNIFE SHOP: Run by some Swedish guy who looks like he's going to eat both of them for breakfast>
[16-Sep-2011 09:03:08]  <Jaqueline_de_Macquerel> (>implying Jack's smile is never disturbing)
[16-Sep-2011 09:03:30]  <Cassie> "Bork bork bork" mumbles Cassie quietly
[16-Sep-2011 09:03:53]  <Jaqueline_de_Macquerel> @yt regular ordinary swedish meal time
[16-Sep-2011 09:03:53]  <Omnipresence> 14Jaqueline_de_Macquerel: YouTube: 14Regular Ordinary Swedish Meal Time - Meatball Massacre14, 2,821,457 views: http://www.youtube.com/watch?v=C8Wu3Bps9ic
[16-Sep-2011 09:04:43]  * Jaqueline_de_Macquerel leads Cassie over to a wall of knives. LOTS OF THEM.
[16-Sep-2011 09:04:57]  <Jaqueline_de_Macquerel> See something you'd like? I promised I'd teach you some tricks~!
[16-Sep-2011 09:05:53]  <Cassie> Cassie selects a switchblade with a snake pattern etched on. "
[16-Sep-2011 09:06:04]  <Cassie> "I think this one looks pretty"
[16-Sep-2011 09:06:07]  <Jaqueline_de_Macquerel> Nice~.
[16-Sep-2011 09:07:18]  <Jaqueline_de_Macquerel> Great quality, too, especially for one of that pattern. Most cheapo companies just slap that pattern on to sucker in teens who played too much Call of Battle and people who don't know what they're doing.
[16-Sep-2011 09:07:57]  <Cassie> "Call of Battle?"
[16-Sep-2011 09:08:32]  * Jaqueline_de_Macquerel blinks and stares. "You haven't heard? It's the most popular realistic FPS out there!"
[16-Sep-2011 09:08:37]  <Jaqueline_de_Macquerel> (( :V ))
[16-Sep-2011 09:09:18]  <Cassie> "FPS? Um... oh is it a lying game? Fabrications per second!" asks Cassie earnestly?
[16-Sep-2011 09:09:51]  <Jaqueline_de_Macquerel> "No, silly. It stands for first person shooter. Like, it puts you through the eyes of a soldier."
[16-Sep-2011 09:10:10]  <Cassie> "But I'm already a soldier..."
[16-Sep-2011 09:10:47]  <Jaqueline_de_Macquerel> 'Cept you don't blow away terrorists by the dozen. Anyway, lemme show you something.
[16-Sep-2011 09:11:11]  * Jaqueline_de_Macquerel does that personal space violation again and grabs Cassie's hand, showing her a bunch of bizarre tricks that should have gotten them both stabbed.
[16-Sep-2011 09:11:13]  <Loki_Weyland> Realistic, my ass.
[16-Sep-2011 09:12:11]  <Jaqueline_de_Macquerel> (( Call of Battle: Armed. I dunno what's the other competing modern warfare FPS... ))
[16-Sep-2011 09:12:36]  <Cassie> "Um pilot Jaqueline, this tricks are impressive and all, but wouldn't learning to stab for vital areas while maintaining a defense be more practical?"
[16-Sep-2011 09:13:50]  <Jaqueline_de_Macquerel> Sure~
[16-Sep-2011 09:14:15]  * Jaqueline_de_Macquerel steps up to a training dummy and jams the blade on the side of its neck.
[16-Sep-2011 09:14:49]  <Jaqueline_de_Macquerel> Don't do that slashing motion they do in the film unless you can't get in too close, this ensures you'll do damage.
[16-Sep-2011 09:17:08]  <Cassie> "Understood. Thank you for the instruction pilot Jaqueline." Cassie hurries off to buy her knife and asks "What would you like to do next? The night must not have been very fun for you, running me through weapon drills and what not"
[16-Sep-2011 09:19:17]  * Jaqueline_de_Macquerel grins. "Oh, it was very fun... here, I'll buy you a few more. I have more back at base if you need any more~."
[16-Sep-2011 09:23:43]  <Jaqueline_de_Macquerel> (Blargh, sorry.)
[16-Sep-2011 09:24:30]  <Cassie> (It's fine. OTher convo and whatever else)
[16-Sep-2011 09:25:30]  <Jaqueline_de_Macquerel> (Should we make this noncanon, or?)
[16-Sep-2011 09:26:37]  <Cassie> (Yeah or just drop the pretense of Jaq getting Cassie over her fail angst and more in being her pestering Cassie for a night on the town)
[16-Sep-2011 09:27:12]  <Jaqueline_de_Macquerel> (( Actually, Jack isn't even aware of her angst. :V ))
[16-Sep-2011 09:27:42]  <Cassie> (She ranted about it on the radio channel)
[16-Sep-2011 09:27:56]  <Jaqueline_de_Macquerel> (( Oh, right. Argh. ))
[16-Sep-2011 09:28:03]  <Jaqueline_de_Macquerel> (( It's a bit of both. ))
[16-Sep-2011 09:31:58]  * Jaqueline_de_Macquerel drags Cassie out, passing by landmarks and Jacquline half-assing explanations along the way, getting lost, stopping at random ramen booths, scaring away cats, and occasionally finding huge-ass arcades. Like this one.
[16-Sep-2011 09:34:25]  <Jaqueline_de_Macquerel> Hey, go play a game, or something! You need to start on that~
[16-Sep-2011 09:37:04]  <Cassie> (Can we pick this up later? I'm tired and I have to go to bed soon since I have work in the morning
[16-Sep-2011 09:38:30]  <Jaqueline_de_Macquerel> ( Same here. Sure. :V )
