[27-Jan-2013 20:12:43]  <IllFlower> and we're off.
[27-Jan-2013 21:37:40]  <Miaka_Watanabe[Barcode]> ((damn lack a stars))
[27-Jan-2013 21:37:48]  <IllFlower> a moment of quiet passes, before Kei's voice rises to a hysteric scream. "Namie -- Tadashi -- they were my friends! I *killed* them! I -- I lo -- and I kil --" **
[27-Jan-2013 21:38:17]  <Sumire> "Calm down, Kei.  Everyone makes mistakes.  I'm sure there's a way for you to atone, to become normal again..."
[27-Jan-2013 21:39:06]  <IllFlower> "no. no. no. no. no... it's already too late..."
[27-Jan-2013 21:39:59]  <IllFlower> Kei reaches behind her. a metallic clinking sound echoes through the room, and when she pulls her hand in front of herself again, there are needles glistening in her hand. (wait, more)
[27-Jan-2013 21:41:06]  <BGTB2005> 14this gon get ugly
[27-Jan-2013 21:41:27]  <Miaka_Watanabe[Barcode]> ((man I had the perfect line...here's hoping))
[27-Jan-2013 21:41:35]  <Miaka_Watanabe[Barcode]> ((hoping I get the chance later*))
[27-Jan-2013 21:42:04]  <IllFlower> she pulls off her shirt and tears the needles across her torso, letting out an inhuman scream. blood runs everywhere. she throws the needles at a nearby wall, where they embed themselves into the surface, making a splatter the same color as that of the words written there. (more)
[27-Jan-2013 21:42:37]  <Nitya> 14here i was thinking it would be hard to integrate magical girls into Unknown Armies
[27-Jan-2013 21:42:43]  <Yuna> (@______@)
[27-Jan-2013 21:42:56]  <Sumire> 14shit
[27-Jan-2013 21:42:58]  <Yuna> ((you actually made me physically shudder with that line, um, good job illflower?))
[27-Jan-2013 21:42:59]  <IllFlower> and then, just as her screams seem to reach a crescendo, her voice gives out, and the lacerations she's made across her skin simply vanish, as does the blood.
[27-Jan-2013 21:43:07]  <Yui> ((saaaaaame))
[27-Jan-2013 21:43:13]  <Yuna> ((blood magic?))
[27-Jan-2013 21:43:31]  <IllFlower> "I can't be normal... and I can't... atone..."
[27-Jan-2013 21:43:41]  <IllFlower> her voice wavers again.
[27-Jan-2013 21:44:01]  <Nitya> 14epideromancer savant
[27-Jan-2013 21:44:16]  <Sumire> "You can't give up hope, Kei.  You mustn't give up hope."
[27-Jan-2013 21:44:17]  <IllFlower> "when I realized what I did, I just wanted to... end it. I don't... deser -- shouldn't be here... but I -- I can't even do th --" **
[27-Jan-2013 21:44:59]  <Sumire> 14evidence bullet: hope
[27-Jan-2013 21:45:22]  <Miaka_Watanabe[Barcode]> Miaka turns to shouting, tire . "You used to fight witches! We...we can't tell you what you did is okay, but...you /can/ make up for it. You /have/ to! If you save people's lives...it's got to make up for those lives you've taken away...right?" She looks pleading with the last few words, tears welling.
[27-Jan-2013 21:45:26]  <Miaka_Watanabe[Barcode]> shouting, dire.*
[27-Jan-2013 21:45:54]  <Miaka_Watanabe[Barcode]> ((I can't call for rolls, I assume))
[27-Jan-2013 21:46:09]  <IllFlower> "please, just let me... disappear..."
[27-Jan-2013 21:46:13]  * Yuna retracts inward a bit and hides behind Yui and Miaka
[27-Jan-2013 21:46:35]  <IllFlower> her body, already down on its knees, finally falls over onto the concrete floor.
[27-Jan-2013 21:46:42]  * Yui presses back against Yuna
[27-Jan-2013 21:48:39]  <IllFlower> her shadow, though, is still restless... no, "still" is the wrong word. it grows, spreading across the area Yuna's flashlight has illuminated, then begins to emerge from the wall, like... like flames from a log of firewood. another scream echoes through the room.
[27-Jan-2013 21:49:28]  <Sumire> "W--what's happening?"
[27-Jan-2013 21:49:29]  <IllFlower> the sound of metallic rattling grows, quickly becoming deafening. a toolbox plummets from a high shelf, making a loud crashing noise.
[27-Jan-2013 21:50:04]  <IllFlower> the photographs on the ground begin to float in the air as the shadow starts to cover every wall in the room.
[27-Jan-2013 21:50:47]  <IllFlower> a silver balance clatters onto the floor in the middle of the garage, seemingly having appeared out of thin air. one of its platters breaks into pieces.
[27-Jan-2013 21:51:03]  * Yuna mutters, "S-so this... this is what happens... when a magical girl is consumed by darkness..."
[27-Jan-2013 21:51:18]  <Sumire> "So it seems.  Is this our fate?"
[27-Jan-2013 21:52:07]  <IllFlower> amidst all the chaos, it's almost hard to notice that the shadow has swallowed Kei whole, absorbing her into the wall, which is subsequently blown away to reveal a large, dark cavern...
[27-Jan-2013 21:53:17]  <Yuna> "I don't think it is... as long as we try to keep our kindness and love..."
[27-Jan-2013 21:53:35]  <IllFlower> papered over every surface is an almost incredible collage of photographs, shifting, moving; balances creaking in and out of parity; covered in thread, red and purple and pink and --
[27-Jan-2013 21:54:31]  <IllFlower> a black mass, shifting in and out of the form of Kei's silhouette, appears to face the girls.
[27-Jan-2013 21:54:41]  <Sumire> "K...Kei, are you in there?
[27-Jan-2013 21:54:57]  <IllFlower> Yuna hears a whisper, a regretful whisper -- "Mizuki..."
[27-Jan-2013 21:55:21]  <IllFlower> I'm initiating battle. order your attributes - https://docs.google.com/spreadsheet/ccc?key=0AizHQ9KT342udC01ckhGcnpDRmlMX3NiNklIUEpDcHc - and let me know when you're done.
[27-Jan-2013 21:55:26]  <Omnipresence> 14URL: [docs.google.com â accounts.google.com] Welcome to Google Docs
[27-Jan-2013 21:55:50]  <IllFlower> (or you can just list them in here as always.)
[27-Jan-2013 21:55:57]  <Sumire> attack: mg defense: ht support: fr
[27-Jan-2013 21:56:10]  <Yui> A Heart 8, D Fury 4, S Mg 6
[27-Jan-2013 21:56:23]  <Yuna> atk: ht, def: mg, sp: fr
[27-Jan-2013 21:56:37]  <Yuna> ((Yui, want to do a combination attack?))
[27-Jan-2013 21:56:46]  <Yui> ((sounds good to me
[27-Jan-2013 21:57:01]  <IllFlower> Miaka_Watanabe[Barcode]?
[27-Jan-2013 21:57:14]  <Miaka_Watanabe[Barcode]> Fury attack (8), magic defense (6), heart support (4)
[27-Jan-2013 21:57:49]  <IllFlower> +roll d4
[27-Jan-2013 21:57:49]  <rollermine> IllFlower: 2=2
[27-Jan-2013 21:58:34]  <Miaka_Watanabe[Barcode]> "No!" Miaka screams, in anguish. "Kei...I really didn't want to fight you... but if this eases your soul...so be it!"  She smashes the Kruger into the concrete, splintering the ground. The Kruger deforms with the impact, then splinters as well, reforming on Miaka into the familiar claw-and-snubgun from before.
[27-Jan-2013 21:59:05]  <Yuna> ((fyi barcode you are actually awesome)
[27-Jan-2013 21:59:06]  <IllFlower> the witch attacks first. a shroud of black emerges from the ground, quickly surrounding Sumire, Yui, and Miaka.
[27-Jan-2013 21:59:27]  <IllFlower> +roll 2m6+13+3
[27-Jan-2013 21:59:27]  <rollermine> IllFlower: ((6+1)+(6+1))+13+3=30
[27-Jan-2013 21:59:33]  <Miaka_Watanabe[Barcode]> ((holy shit))
[27-Jan-2013 21:59:58]  <Miaka_Watanabe[Barcode]> ((uh.))
[27-Jan-2013 22:00:02]  <Nitya> 14do y'all have insurance
[27-Jan-2013 22:00:05]  <Miaka_Watanabe[Barcode]> ((lol))
[27-Jan-2013 22:00:22]  <Miaka_Watanabe[Barcode]> @yt shadows of the labyrinth > side note
[27-Jan-2013 22:00:22]  <Omnipresence> 14side note: YouTube: (1/25) http://www.youtube.com/watch?v=7UGUiffRylo â Persona 4 Arena OST Shadows of the Labyrinth Extended â 2,627 views (+3148 more characters)
[27-Jan-2013 22:00:32]  <Miaka_Watanabe[Barcode]> we roll for D, right?
[27-Jan-2013 22:00:35]  <Sumire> 14I think we're supposed to passively defend, and just let it hit?
[27-Jan-2013 22:00:46]  <Yui> ((Kei separated Yuna and Yui, this'll end well D:))
[27-Jan-2013 22:01:07]  <IllFlower> you can either roll for defense, or take passive defense -- but since that's no more than 13, you basically resign yourself to taking damage in the latter case.
[27-Jan-2013 22:01:20]  <Yuna> (+13?! @_@)
[27-Jan-2013 22:01:30]  <Miaka_Watanabe[Barcode]> you know what, fuck this noise.
[27-Jan-2013 22:01:34]  <Miaka_Watanabe[Barcode]> +roll 2d6+6
[27-Jan-2013 22:01:34]  <rollermine> Miaka_Watanabe[Barcode]: (3+1)+6=10
[27-Jan-2013 22:01:38]  <Miaka_Watanabe[Barcode]> well. alirght thenm
[27-Jan-2013 22:01:48]  <Sumire> 148+12=20 though, so I'd have to take overcharge; I'll just take the hits
[27-Jan-2013 22:01:51]  <Yuna> (this witch has 13 attack? @_@)
[27-Jan-2013 22:01:51]  <Miaka_Watanabe[Barcode]> (meant to do m6 but I didn't roll any 6s, so whatever)
[27-Jan-2013 22:02:06]  <Yui> +roll 2m6+4
[27-Jan-2013 22:02:06]  <rollermine> Yui: (4+4)+4=12
[27-Jan-2013 22:02:17]  <Miaka_Watanabe[Barcode]> ((there are four of us. actually wait, can yuna clash at all, or not for multi-attacks?))
[27-Jan-2013 22:02:21]  <BGTB2005> 14I told you this'd get ugly
[27-Jan-2013 22:02:22]  <IllFlower> (remember that you can take Overcharge dice or strain a relationship for an extra die.)
[27-Jan-2013 22:02:24]  <Miaka_Watanabe[Barcode]> ((not that I suggest you take the brunt of what is supposed to be 3 attacks))
[27-Jan-2013 22:02:32]  <IllFlower> Miaka_Watanabe[Barcode]: one for one. the other two would still hit.
[27-Jan-2013 22:02:36]  <Miaka_Watanabe[Barcode]> ah.
[27-Jan-2013 22:02:36]  <Yuna> +roll 2m6+6
[27-Jan-2013 22:02:36]  <rollermine> Yuna: (4+1)+6=11
[27-Jan-2013 22:02:47]  <Yuna> ((y-yeah... I think I have to take the hit...))
[27-Jan-2013 22:02:53]  <Miaka_Watanabe[Barcode]> oh, you weren't attacked, yuna
[27-Jan-2013 22:02:59]  <IllFlower> Yuna: you're in luck; it didn't attack you.
[27-Jan-2013 22:03:01]  <Miaka_Watanabe[Barcode]> :P
[27-Jan-2013 22:03:10]  <IllFlower> okay, so that's a hit for all three?
[27-Jan-2013 22:03:16]  <Miaka_Watanabe[Barcode]> yeah, I guess. let's see what damage is like
[27-Jan-2013 22:03:21]  <Miaka_Watanabe[Barcode]> (+13, as well)
[27-Jan-2013 22:03:33]  <Yuna> ((oh))
[27-Jan-2013 22:03:34]  <Yuna> oops
[27-Jan-2013 22:03:38]  <Yuna> ((I am dumb))
[27-Jan-2013 22:03:40]  <Yuna> (Yui is not Yuna)
[27-Jan-2013 22:03:49]  <Miaka_Watanabe[Barcode]> ((it's okay, I thought I was Sumire for the first two sessions))
[27-Jan-2013 22:04:06]  <Yui> ((enmeshment song enmeshment song I'm you you're me together we can go to therapy))
[27-Jan-2013 22:04:30]  <IllFlower> the shroud solidifies, turning into a hail of blades that throws itself at everyone but Yuna.
[27-Jan-2013 22:04:32]  <Miaka_Watanabe[Barcode]> ((y'know technically I shoudl listen to elizabeth's theme, since it's more final and I said I would, but...okay yeah let's do this))
[27-Jan-2013 22:04:50]  <IllFlower> +roll 2d6+6+2+4
[27-Jan-2013 22:04:50]  <rollermine> IllFlower: (6+1)+6+2+4=19
[27-Jan-2013 22:04:58]  <IllFlower> anyone want to change their minds?
[27-Jan-2013 22:04:59]  <Miaka_Watanabe[Barcode]> ((uh))
[27-Jan-2013 22:05:00]  <Yuna> (( Yui: http://www.youtube.com/watch?v=cH6NB2F-Jcw ))
[27-Jan-2013 22:05:01]  <Omnipresence> 14URL: [www.youtube.com] (Lyrics & Subtitles) Miki Sayaka & Sakura Kyouko Character Song - And I'm Home - YouTube
[27-Jan-2013 22:05:08]  <Miaka_Watanabe[Barcode]> ((is that 19 each, because like))
[27-Jan-2013 22:05:11]  <IllFlower> 19 each.
[27-Jan-2013 22:05:15]  <Sumire> 14oh shit
[27-Jan-2013 22:05:18]  <Yui> ((ow))
[27-Jan-2013 22:05:19]  <Yuna> ((?????))
[27-Jan-2013 22:05:26]  <Yuna> (( I thought damage was 1d6...))
[27-Jan-2013 22:05:29]  <Miaka_Watanabe[Barcode]> ((the hell can we do during defense anyway? or are you just giving us a chance to load up on OC))
[27-Jan-2013 22:05:34]  <Miaka_Watanabe[Barcode]> on OC and retcon the successful attack*
[27-Jan-2013 22:05:40]  <IllFlower> Yuna: special ability that adds d6 for this first round only.
[27-Jan-2013 22:05:49]  <Yuna> ((@_______@))
[27-Jan-2013 22:05:55]  <IllFlower> Miaka_Watanabe[Barcode]: if you want to respond by adding dice, this is your chance.
[27-Jan-2013 22:06:05]  <Yuna> that's insane ;-;
[27-Jan-2013 22:06:07]  <Sumire> 14how many dice would I need though
[27-Jan-2013 22:06:13]  <BGTB2005> 14...they do have life insurance, right?
[27-Jan-2013 22:06:21]  <Miaka_Watanabe[Barcode]> ((thirty minus whatever you rolled originally))
[27-Jan-2013 22:06:30]  <IllFlower> Sumire didn't roll.
[27-Jan-2013 22:06:35]  <Miaka_Watanabe[Barcode]> ((oh.))
[27-Jan-2013 22:06:41]  <Sumire> 14oh right.  well, shit
[27-Jan-2013 22:06:54]  <Miaka_Watanabe[Barcode]> ((well fuck lol, that means I would need 4 OC dice on my defense, this turn, to block))
[27-Jan-2013 22:07:03]  <Sumire> 14you can also strain relationships
[27-Jan-2013 22:07:07]  <Miaka_Watanabe[Barcode]> true...
[27-Jan-2013 22:07:15]  <Yuna> ((Could they clash?))
[27-Jan-2013 22:07:29]  <Yuna> ((Then at least the OC would get them +2s...))
[27-Jan-2013 22:07:42]  <IllFlower> if you'd rather clash, you can elect to do so now.
[27-Jan-2013 22:07:52]  <Yuna> (straining plus OCs... ick)
[27-Jan-2013 22:07:53]  <IllFlower> that'll let you use your attack attribute, which is higher.
[27-Jan-2013 22:07:56]  <Miaka_Watanabe[Barcode]> "If youve made a roll for a Challenge and you need a better result, you can put a point of Strain on a relationship that has the same attribute to add +1 to your Result (and add +1 to the damage if its an attack)." this does not seem like twenty.
[27-Jan-2013 22:09:48]  <Miaka_Watanabe[Barcode]> well okay, if you're givin' me the chance, then I /guess/ I'll re-roll to attempt a clash, because I have no options otherwise.
[27-Jan-2013 22:10:04]  <Miaka_Watanabe[Barcode]> and I'd also be KO'd anyway if this fucks up
[27-Jan-2013 22:10:13]  <Miaka_Watanabe[Barcode]> +2m6+8 >extra dice to be determined
[27-Jan-2013 22:10:18]  <Sumire> 14you'd be detransformed and have to revive
[27-Jan-2013 22:10:25]  <Miaka_Watanabe[Barcode]> +2m6+8
[27-Jan-2013 22:10:27]  <IllFlower> you forgot the roll part, Miaka_Watanabe[Barcode]
[27-Jan-2013 22:10:28]  <Miaka_Watanabe[Barcode]> oh.
[27-Jan-2013 22:10:31]  <Miaka_Watanabe[Barcode]> +roll 2m6+8
[27-Jan-2013 22:10:31]  <rollermine> Miaka_Watanabe[Barcode]: (2+4)+8=14
[27-Jan-2013 22:10:56]  <Miaka_Watanabe[Barcode]> so, let's try two fury OC...
[27-Jan-2013 22:11:03]  <Miaka_Watanabe[Barcode]> +roll 2d6
[27-Jan-2013 22:11:03]  <rollermine> Miaka_Watanabe[Barcode]: (4+4)=8
[27-Jan-2013 22:11:13]  <Yui> ((William and I have to leave in about an hour twenty))
[27-Jan-2013 22:11:43]  <IllFlower> Miaka_Watanabe[Barcode]: 22 so far.
[27-Jan-2013 22:12:00]  <Miaka_Watanabe[Barcode]> ....alright, I'll go up to 4 for the clash attempt.
[27-Jan-2013 22:12:02]  <IllFlower> 30 attack result is still out against Yui and Sumire.
[27-Jan-2013 22:12:16]  <Miaka_Watanabe[Barcode]> well, it's still out for me too until this, if it even works :P
[27-Jan-2013 22:12:17]  <Miaka_Watanabe[Barcode]> +roll 2d6
[27-Jan-2013 22:12:18]  <rollermine> Miaka_Watanabe[Barcode]: (4+3)=7
[27-Jan-2013 22:12:18]  <Sumire> 14I didn't roll dice, so I don't think I can do anything; I'm basically detransformed
[27-Jan-2013 22:12:31]  <IllFlower> Sumire: you can elect to change that if you want.
[27-Jan-2013 22:12:50]  <Sumire> 14In that case, I'll defend and then add overcharge
[27-Jan-2013 22:12:57]  <IllFlower> Miaka_Watanabe[Barcode]: 29.
[27-Jan-2013 22:13:08]  <Miaka_Watanabe[Barcode]> so if I take strain I get 1 more /die/, or 1 more on the result?
[27-Jan-2013 22:13:13]  <Sumire> +roll 2m6+8 >! again, will add more overcharge dice
[27-Jan-2013 22:13:13]  <rollermine> (2+(6+5))+8=21
[27-Jan-2013 22:13:23]  <IllFlower> Miaka_Watanabe[Barcode]: result, period, but you'd need 2 to win outright.
[27-Jan-2013 22:13:26]  <Yuna> ((make sureyou win on the clash, so you get to hit the witchthing back))
[27-Jan-2013 22:13:32]  <Yuna> ((tiebreaks or something?))
[27-Jan-2013 22:13:47]  <Sumire> 14do I get to choose which attribute I put overcharge dice into?
[27-Jan-2013 22:13:59]  <IllFlower> Yuna: tiebreak falls back on the base attribute, which is 13 vs. 8.
[27-Jan-2013 22:14:06]  <IllFlower> Sumire: no, it's your defense attribute.
[27-Jan-2013 22:14:16]  <Miaka_Watanabe[Barcode]> ...alright, let's get dangerous. 5 OC
[27-Jan-2013 22:14:17]  <Sumire> 14 could I also put the shield up?
[27-Jan-2013 22:14:19]  <Miaka_Watanabe[Barcode]> +roll d6
[27-Jan-2013 22:14:19]  <rollermine> Miaka_Watanabe[Barcode]: 3=3
[27-Jan-2013 22:14:20]  <Yuna> ((oh, the +6 counts as the base attribute?))
[27-Jan-2013 22:14:23]  <Miaka_Watanabe[Barcode]> eat it, witch
[27-Jan-2013 22:14:25]  <IllFlower> Sumire: you could.
[27-Jan-2013 22:14:33]  <Yuna> ((oh, the base is 13, and there's a +1d6 to damage, or something))
[27-Jan-2013 22:14:35]  *** AttObl|MapleStory is now known as AttObl|PathOfExile
[27-Jan-2013 22:14:47]  <Sumire> 14 I'll do two extra OC dice
[27-Jan-2013 22:14:48]  <Sumire> +roll 2m6
[27-Jan-2013 22:14:49]  <rollermine> Sumire: (5+5)=10
[27-Jan-2013 22:14:51]  <Yuna> Miaka_Watanabe[Barcode]: you are going to hit that witch insanely hard
[27-Jan-2013 22:14:52]  <IllFlower> Sumire: since defense doesn't take your turn. putting the shield up does, though.
[27-Jan-2013 22:14:58]  <Nitya> 14the witch is defeated.  barcode is reduced to nuclear waste
[27-Jan-2013 22:15:01]  <Sumire> 14 no shield, actually, since 21+10=31
[27-Jan-2013 22:15:02]  <Miaka_Watanabe[Barcode]> lol
[27-Jan-2013 22:15:14]  <Miaka_Watanabe[Barcode]> Yuna: well, more like "I'll hit it, and then roll 1+1+4 on the actual strike
[27-Jan-2013 22:15:15]  <Sumire> 14but three magic overcharge diec
[27-Jan-2013 22:15:16]  <Miaka_Watanabe[Barcode]> "
[27-Jan-2013 22:15:22]  <Yuna> Miaka_Watanabe[Barcode]: +2 per overcharge
[27-Jan-2013 22:15:33]  <Miaka_Watanabe[Barcode]> !?
[27-Jan-2013 22:15:42]  <IllFlower> Miaka_Watanabe[Barcode]: 32. that's a win plus 5 Fr OC. roll d6+4+10.
[27-Jan-2013 22:15:46]  <Yuna> +2 damage per overcharge
[27-Jan-2013 22:15:50]  <Miaka_Watanabe[Barcode]> sweet.
[27-Jan-2013 22:16:00]  <Miaka_Watanabe[Barcode]> hope you guy sdon't mind fighting another wtich after this
[27-Jan-2013 22:16:05]  <Miaka_Watanabe[Barcode]> +roll d6+4+10
[27-Jan-2013 22:16:05]  <rollermine> Miaka_Watanabe[Barcode]: 3+4+10=17
[27-Jan-2013 22:16:10]  <Sumire> 14you need eight to witchify
[27-Jan-2013 22:16:12]  <Miaka_Watanabe[Barcode]> stand by for attack description
[27-Jan-2013 22:16:17]  <IllFlower> Sumire: 3 Ht OC.
[27-Jan-2013 22:16:21]  <IllFlower> attack fails.
[27-Jan-2013 22:16:22]  <Yuna> fury doesn't create witches anyways
[27-Jan-2013 22:16:45]  <IllFlower> Miaka_Watanabe[Barcode]: 17 damage.
[27-Jan-2013 22:16:49]  <Sumire> 14I might have to describe the fallout after the session
[27-Jan-2013 22:16:50]  <Miaka_Watanabe[Barcode]> ((yup, one second))
[27-Jan-2013 22:16:55]  <IllFlower> still need to hear back from Yui...
[27-Jan-2013 22:17:14]  <Yui> am I allowed to take overcharge on defense as well?
[27-Jan-2013 22:17:19]  <IllFlower> yup. any magical roll.
[27-Jan-2013 22:17:30]  <Yui> okay.
[27-Jan-2013 22:17:45]  <IllFlower> you're at 12 right now, or you can try to clash and attack the witch back instead (though this takes your turn).
[27-Jan-2013 22:17:53]  <Yui> +roll 2m6+4
[27-Jan-2013 22:17:53]  <rollermine> Yui: ((6+2)+1)+4=13
[27-Jan-2013 22:18:20]  <IllFlower> 13. need 30 to defend.
[27-Jan-2013 22:18:39]  <Yuna> ((not clashing seems like a waste, since it means the overcharge don't go into damaging the witch))
[27-Jan-2013 22:19:01]  <Yui> ((nrrrgh, good point, babeorama))
[27-Jan-2013 22:19:04]  <IllFlower> meanwhile: Sumire manages to jump out of the way of the flying blades, only taking a cosmetic nick or two.
[27-Jan-2013 22:19:08]  <Miaka_Watanabe[Barcode]> Miaka's eyes flare - literally. Red streaks of aethereal flame geyser out of her eye sockets, obscuring her eyes completely. She jumps over the shroud and charges the witch, screaming inhumanly and firing blood-red bolts out of the Kruger on her approach. She beats and tears Kei's silhouette savagely, alternating through rending swipes with the gauntlet and pounding her overhead with the Kruger.
[27-Jan-2013 22:19:37]  <IllFlower> oh, I was just going to have Miaka knock some of the blades back at the witch. but that works too. :D
[27-Jan-2013 22:19:39]  <Yuna> ((nice job at, um, only taking 3 OC though Sumire XD))
[27-Jan-2013 22:19:49]  <Miaka_Watanabe[Barcode]> wait, so I do less damage, huh
[27-Jan-2013 22:19:51]  <Miaka_Watanabe[Barcode]> or no
[27-Jan-2013 22:19:56]  <Miaka_Watanabe[Barcode]> oh, not clashing, nm
[27-Jan-2013 22:19:59]  <Miaka_Watanabe[Barcode]>  /not/*
[27-Jan-2013 22:20:28]  <IllFlower> Yui: if you want to clash, base is 2m6+8, plus whatever OC dice you elect to take.
[27-Jan-2013 22:20:44]  <Miaka_Watanabe[Barcode]> yuna: not clashing lets you spread out your OC better. so you dojn't end up shoving your thumbs all the way into someone's skull through their eyes once you exit the Nightmare
[27-Jan-2013 22:20:53]  <Miaka_Watanabe[Barcode]> end up losing it and shoving your*
[27-Jan-2013 22:21:13]  <Nitya> 14good to know you've thought your strategy through
[27-Jan-2013 22:21:13]  <Yuna> (good point, I guess I can swap attributes around later to try to limit that)
[27-Jan-2013 22:21:26]  <Yui> +roll 2m6+8
[27-Jan-2013 22:21:26]  <rollermine> Yui: (3+3)+8=14
[27-Jan-2013 22:21:31]  <Miaka_Watanabe[Barcode]> guess who isn't going to be Support-ing anyone for the rest of the matchup :P
[27-Jan-2013 22:21:46]  <Miaka_Watanabe[Barcode]> although, smelling like blood for a few hours would be pretty sweet
[27-Jan-2013 22:21:48]  <Yui> 2m6
[27-Jan-2013 22:21:56]  <Yui> +roll +2m6
[27-Jan-2013 22:21:56]  <rollermine> Yui: Peg parsing error at character position 0.
[27-Jan-2013 22:22:08]  <IllFlower> extra + before 2m6 there
[27-Jan-2013 22:22:09]  <Yui> +roll 2m6
[27-Jan-2013 22:22:10]  <rollermine> Yui: (1+1)=2
[27-Jan-2013 22:22:13]  <Miaka_Watanabe[Barcode]> oh god.
[27-Jan-2013 22:22:13]  <Yuna> @_@
[27-Jan-2013 22:22:15]  <Yui> -___-
[27-Jan-2013 22:22:16]  <Sumire> 14...
[27-Jan-2013 22:22:20]  <IllFlower> 16. 2 Ht OC so far.
[27-Jan-2013 22:22:59]  <Yuna> ._.
[27-Jan-2013 22:23:03]  <Yui> +roll 1m6
[27-Jan-2013 22:23:03]  <rollermine> Yui: (1)=1
[27-Jan-2013 22:23:07]  <Yuna> ...............
[27-Jan-2013 22:23:10]  <Yui> okay wow
[27-Jan-2013 22:23:12]  <Sumire> 14god damn
[27-Jan-2013 22:23:23]  <Yuna> dicebot wtf
[27-Jan-2013 22:23:25]  <Yui> any more and it puts me at 6 oc total
[27-Jan-2013 22:23:32]  <Yuna> wait, 6??
[27-Jan-2013 22:23:37]  <IllFlower> Yuna, you can attempt to Clash as well, to block the witch's attack on Yui.
[27-Jan-2013 22:23:41]  <IllFlower> just a note.
[27-Jan-2013 22:23:41]  <Yui> still have 2 from last time
[27-Jan-2013 22:23:43]  <Yuna> oh...
[27-Jan-2013 22:23:49]  <Yuna> does she still get all those OC then?
[27-Jan-2013 22:23:53]  <Yuna> if her clash doesn't count
[27-Jan-2013 22:23:56]  <IllFlower> in which case I'll wipe the OC, but you'll probably have to take some.
[27-Jan-2013 22:23:57]  <Yuna> i.e. can I retcon them >.>
[27-Jan-2013 22:24:00]  <Yuna> okay!
[27-Jan-2013 22:24:07]  * Yuna dives in after Yui.
[27-Jan-2013 22:24:20]  <IllFlower> (also means Yui's turn is freed up.)
[27-Jan-2013 22:24:25]  <Yuna> +roll 2m6+9
[27-Jan-2013 22:24:25]  <rollermine> Yuna: (5+(6+5))+9=25
[27-Jan-2013 22:24:39]  <Sumire> 14niiiiice
[27-Jan-2013 22:24:39]  <Yui> ((that's my girl!))
[27-Jan-2013 22:24:41]  <Yuna> adding one more OC...
[27-Jan-2013 22:24:43]  <Yuna> +roll 1m6
[27-Jan-2013 22:24:44]  <rollermine> Yuna: (3)=3
[27-Jan-2013 22:24:47]  <Yuna> one more OC
[27-Jan-2013 22:24:49]  <Yuna> +roll 1m6
[27-Jan-2013 22:24:50]  <rollermine> Yuna: (1)=1
[27-Jan-2013 22:25:00]  <Sumire> 14you can strain two relationships
[27-Jan-2013 22:25:02]  <IllFlower> Miaka_Watanabe[Barcode]: you can narrate fine, just make sure you tell me explicitly if you want to take Fallout or not.
[27-Jan-2013 22:25:19]  <Miaka_Watanabe[Barcode]> aight. yeah obviously I can't take fallout in the middle of the fight
[27-Jan-2013 22:25:28]  <IllFlower> you can, actually, once you hit 6.
[27-Jan-2013 22:25:32]  <Miaka_Watanabe[Barcode]> oh right.
[27-Jan-2013 22:25:47]  <IllFlower> Sumire: you also still have your turn, so you can shield if you wish.
[27-Jan-2013 22:25:55]  <Sumire> 14can I shield a clash?
[27-Jan-2013 22:26:05]  <Yuna> (I'm not done yet obv.)
[27-Jan-2013 22:26:32]  <IllFlower> Sumire: oh, right, nope. it's +3 Def. whoops.
[27-Jan-2013 22:26:51]  <IllFlower> 3 Ht OC so far for Yuna.
[27-Jan-2013 22:27:03]  <Yuna> +roll 1m6
[27-Jan-2013 22:27:03]  <rollermine> Yuna: (5)=5
[27-Jan-2013 22:27:08]  <Yuna> die witch die
[27-Jan-2013 22:27:27]  <IllFlower> 34. that's a success. 4 Ht OC. roll d6+4+8 for damage.
[27-Jan-2013 22:27:31]  <Yui> ((I told you separating yuna and yui wouldn't go over well))
[27-Jan-2013 22:27:40]  <Yuna> +roll 1d6+4+8
[27-Jan-2013 22:27:41]  <rollermine> Yuna: (4)+4+8=16
[27-Jan-2013 22:27:52]  <IllFlower> 16 damage.
[27-Jan-2013 22:27:59]  <Sumire> 14how much did miaka do?
[27-Jan-2013 22:28:05]  <IllFlower> 17.
[27-Jan-2013 22:28:06]  <Miaka_Watanabe[Barcode]> 17, I thin-.
[27-Jan-2013 22:28:11]  <Yui> ((friendship is magic, bitches! (punctuation is important))
[27-Jan-2013 22:28:14]  *** Xeniera <~Solstace@67-5-178-123.ptld.qwest.net> has quit IRC (Quit: Leaving.)
[27-Jan-2013 22:28:19]  <BGTB2005> 14ninjas everywhere
[27-Jan-2013 22:28:21]  <Sumire> 14friendship is (magic bitches)
[27-Jan-2013 22:28:37]  <BGTB2005> 14fund it
[27-Jan-2013 22:28:39]  <IllFlower> Yuna and Miaka clashed, so their turns are taken. once Yuna describes her counterattack, it's Sumire's turn.
[27-Jan-2013 22:29:09]  <IllFlower> er, well, I've got one thing to put in after Yuna's counterattack, and *then* it's Sumire's turn.
[27-Jan-2013 22:29:34]  * Yuna dives in after Yuna, her flashlight beaming brighter and brigher as she flies towards.  The beam gets brighter and brighter and sears away the incoming blades, their fragments recoiling into the witch like a hailstorm of shrapnel.
[27-Jan-2013 22:29:39]  <Yuna> .... *after Yui
